time,segment_id,segment_local_time,u,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
0.0,0,0.0,0.0,-1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0,0.005,0.003611421459692082,-1.5000000669862654,-2.633634512769745e-09,1.4999999864940485,-4.003641073045233e-05,-1.556733785890385e-06,-8.145171288864947e-06,-0.01589039742284842,-0.0006039569333517594,-0.0032913013559905595
0.01,0,0.01,0.007222842919384164,-1.5000005296873784,-2.0133294872576973e-08,1.4999998902931178,-0.0001576679038228882,-5.853251344112395e-06,-3.324296981092806e-05,-0.031039152602339224,-0.0010961230730603998,-0.006780576462594597
0.015,0,0.015,0.010834264379076244,-1.5000017668362142,-6.480575412373455e-08,1.4999996241712603,-0.0003492030629237066,-1.2333742168366679e-05,-7.627614785898668e-05,-0.045452983483747246,-0.0014777558038924195,-0.010464978735704102
0.02,0,0.02,0.014445685838768327,-1.5000041387925407,-1.461944500886399e-07,1.49999909602435,-0.0006109840614056809,-2.044868267618639e-05,-0.00013821322480529817,-0.05913860801234735,-0.0017501125106143185,-0.014341661591211067
0.025,0,0.025,0.01805710729846041,-1.5000079877109664,-2.7111091998693727e-07,1.499998208941246,-0.0009393866623679584,-2.9654836208937164e-05,-0.00022000848710157983,-0.07210274413341436,-0.001914450577992594,-0.01840777844500748
0.03,0,0.03,0.021668528758152488,-1.5000136377088904,-4.436662350546804e-07,1.499996861274957,-0.0013308202186360606,-3.941525303181711e-05,-0.00032260198827900865,-0.08435210979222312,-0.0019720273907937453,-0.02266048271298533
0.035,0,0.035,0.025279950217844575,-1.5000213950344496,-6.653024351634954e-07,1.4999949467138067,-0.0017817276727618845,-4.919927033385691e-05,-0.0004469195489482222,-0.09589342293404853,-0.0019241003337842713,-0.027096927811036613
0.04,0,0.04,0.028891371677536654,-1.5000315482344688,-9.348239634397415e-07,1.4999923543525981,-0.002288585557023698,-5.8482512227919626e-05,-0.0005938727567993172,-0.10673340150416534,-0.001771926791730671,-0.031714267155053315
0.045,0,0.045,0.03250279313722873,-1.5000443683224074,-1.2484291008836755e-06,1.4999889687637782,-0.0028479039934261466,-6.674688975070088e-05,-0.0007643589666018507,-0.11687876344784845,-0.0015167641493994428,-0.03650965416092741
0.05,0,0.05,0.03611421459692082,-1.5000601089463101,-1.5997414009886153e-06,1.4999846700686017,-0.0034562266937002515,-7.348060086272886e-05,-0.0009592613002048405,-0.12633622671037273,-0.001159869791557084,-0.041480242244550936
0.055,0,0.055,0.0397256360566129,-1.500079006556754,-1.9798411243600968e-06,1.4999793340082974,-0.004110130959303401,-7.8178130448364e-05,-0.0011794486465367625,-0.13511250923701298,-0.0007025011029700945,-0.04662318482181583
0.06,0,0.06,0.043337057516304976,-1.5001012805747977,-2.3772966733350424e-06,1.499972832015231,-0.004806227681419366,-8.034025031579955e-05,-0.001425775661605554,-0.14321432897304404,-0.00014591546840497446,-0.051935635308614114
0.065,0,0.065,0.04694847897599706,-1.500127133559931,-2.7781960266009226e-06,1.4999650312840709,-0.005541161340958285,-7.947401919706099e-05,-0.0016990827684986126,-0.15064840386374084,0.0005086297273717796,-0.05741474712083776
0.07,0,0.07,0.05055990043568915,-1.5001567513780214,-3.166178173814914e-06,1.499955794842952,-0.0063116100085566776,-7.509278274800653e-05,-0.002000196157382795,-0.15742145185437814,0.00125987709959367,-0.06305767367437878
0.075,0,0.075,0.05417132189538122,-1.5001903033692645,-3.5224645502230645e-06,1.499944981624641,-0.007114285344577424,-6.671617354832655e-05,-0.0023299277855044157,-0.16354019089023078,0.002106569263494192,-0.06886156838512913
0.08,0,0.08,0.05778274335507331,-1.500227942516132,-3.825890471279463e-06,1.4999324465377004,-0.007945932599109801,-5.387011110154428e-05,-0.002689075377189255,-0.16901133891657363,0.0030474488343068566,-0.07482358466898086
0.085,0,0.085,0.06139416481476539,-1.5002698056113202,-4.052936567265385e-06,1.4999180405376535,-0.008803330611969439,-3.608680183501532e-05,-0.0030784224238425465,-0.1738416138786816,0.004081258427265156,-0.08094087594182588
0.09,0,0.09,0.06500558627445746,-1.5003160134256988,-4.17776021790847e-06,1.4999016106981489,-0.009683291812698346,-1.29047390999275e-05,-0.003498738183948988,-0.1780377337218294,0.0052067406576025935,-0.08721059561955623
0.095,0,0.095,0.06861700773414955,-1.5003666708762595,-4.172226987001882e-06,1.4998830002821248,-0.010582662220564922,1.6131296828698497e-05,-0.003950777683072738,-0.18160641639129194,0.00642263814055268,-0.09362989711806394
0.1,0,0.1,0.07222842919384163,-1.500421867194065,-4.005942057023464e-06,1.4998620488129746,-0.011498321444563918,5.147023875200946e-05,-0.004435281713857412,-0.18455437983234416,0.007727693491348902,-0.10019593385324088
0.105,0,0.105,0.07583985065353371,-1.500481676092197,-3.6462816637549065e-06,1.49983859214571,-0.012427182683416473,9.355473254732013e-05,-0.004952976836026082,-0.18688834199026078,0.009120649325224774,-0.10690585924097916
0.11,0,0.11,0.0794512721132258,-1.5005461559337054,-3.0584245309009153e-06,1.4998124625381266,-0.013366192725570089,0.0001428211371681126,-0.005504575376381289,-0.18861502081031667,0.010600248257413784,-0.1137568266971707
