time,segment_id,segment_local_time,u,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
0.0,0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0,0.0025,0.0020006865734512993,1.7261613943989826e-09,1.123480364071793e-09,-0.06000000510199078,2.0693294206016405e-06,1.3460014000551091e-06,-6.117263107774652e-06,0.0016521620752123084,0.0010733227608336448,-0.0048856120304848925
0.005,0,0.005,0.0040013731469025985,1.3768039677009535e-08,8.944384668934136e-09,-0.06000004071348138,8.244336645076965e-06,5.349264501096655e-06,-2.4387139568820923e-05,0.0032845556732431233,0.0021258263579814053,-0.009722119360645534
0.0075,0,0.0075,0.006002059720353897,4.632813680472478e-08,3.004091351298632e-08,-0.060000137062732245,1.8475701206553558e-05,1.1957868872851843e-05,-5.4687082717539984e-05,0.0048972613749575,0.003157612774596819,-0.014509694058651369
0.01,0,0.01,0.008002746293805197,1.094859053824602e-07,7.086178511630053e-08,-0.06000032407217485,3.271430409032165e-05,2.112014904293175e-05,-9.689497605875666e-05,0.006490359761220495,0.004168783993833425,-0.01924850819267184
0.0125,0,0.0125,0.010003432867256495,2.1319825229355996e-07,1.377268727153313e-07,-0.06000063135948715,5.09112277338341e-05,3.278469449683124e-05,-0.00015088913326771923,0.008063931412897164,0.0051594419988447585,-0.023938733830876396
0.015,0,0.015,0.012004119440707794,3.673000423302038e-07,2.368278419576252e-07,-0.060001088238668995,7.30177560267064e-05,4.690034967792909e-05,-0.0002165482981900998,0.009618056910852563,0.00612968877278436,-0.028580543041434463
0.0175,0,0.0175,0.014004806014159094,5.815046018238136e-07,3.7422878829653076e-07,-0.06000172372111759,9.898537431071676e-05,6.341621398748789e-05,-0.00029375164484199407,0.01115281683595175,0.007079626298805768,-0.03317410789251551
0.02,0,0.02,0.016005492587610394,8.654042222754601e-07,5.558668743859075e-07,-0.060002566516702854,0.00012876576937980588,8.228164178465407e-05,-0.00038237877740992116,0.01266829176905978,0.008009356560062518,-0.037719600452288955
0.0225,0,0.0225,0.01800617916106169,1.2284706639862673e-06,7.875529674748353e-07,-0.060003645034842915,0.00016231082948007716,0.00010344624238645784,-0.0004823097302508235,0.014164562291041705,0.008918981539708146,-0.042217192788924246
0.025,0,0.025,0.02000686573451299,1.6800556596878263e-06,1.0749722768023266e-06,-0.060004987385579495,0.00019957264430979686,0.00012685988006781346,-0.0005934249678920684,0.015641708982762587,0.009808603220896196,-0.046667056970590856
0.0275,0,0.0275,0.02200755230796429,2.22939141817259e-06,1.423684990992031e-06,-0.060006621380653345,0.0002405035050193935,0.00015247267406151883,-0.0007156053850314452,0.017099812425087478,0.010678323586780199,-0.05106936506545818
0.03,0,0.03,0.024008238881415588,2.88559112792429e-06,1.8391269154469497e-06,-0.060008574534579674,0.00028505590421145846,0.00018023499855825568,-0.0008487323065371677,0.018538953198881436,0.0115282446205137,-0.0554242891416957
0.0325,0,0.0325,0.02600892545486689,3.6576494607483415e-06,2.3266101097441443e-06,-0.060010874065723585,0.0003331825359407458,0.00021009748270658986,-0.0009926874874478734,0.01995921188500952,0.012358468305250232,-0.05973200126747285
0.035,0,0.035,0.028009612028318188,4.554443075402242e-06,2.8913235250294414e-06,-0.060013546897375473,0.00038483629571417206,0.0002420110106129707,-0.0011473531129726228,0.021360669064336778,0.013169096624143334,-0.06399267351095905
0.0375,0,0.0375,0.030010298601769483,5.584731121225989e-06,3.5383336414121497e-06,-0.060016619658826494,0.0004399702804908165,0.00027592672134173153,-0.0013126117984909006,0.022743405317728272,0.013960231560346542,-0.06820647794032376
0.04,0,0.04,0.03201098517522079,6.757155741772484e-06,4.272585105359768e-06,-0.060020118686443934,0.0004985377886819213,0.00031179600891508984,-0.0014883465895526157,0.024107501226049058,0.0147319750970134,-0.07237358662373647
0.0425,0,0.0425,0.03401167174867208,8.080242578437921e-06,5.098901367092684e-06,-0.06002407002474669,0.0005604923201508905,0.00034957052231314624,-0.0016744409618780975,0.025453037370164185,0.015484429217297436,-0.07649417162936653
0.045,0,0.045,0.03601235832212338,9.56240127409223e-06,6.021985317978902e-06,-0.06002849942748067,0.0006257875762132914,0.0003892021654738858,-0.0018707788213581026,0.02678009433093872,0.016217695904352195,-0.08056840502538343
0.0475,0,0.0475,0.03801304489557468,1.1211925976709453e-05,7.046419927928742e-06,-0.06003343235869421,0.0006943774596368543,0.00043064309729317734,-0.0020772445040538115,0.028088752689237717,0.016931877141331212,-0.08459645887995663
0.05,0,0.05,0.04001373146902598,1.303699584299816e-05,8.17666888278955e-06,-0.06003889399381353,0.0007662160746414715,0.00047384573162477343,-0.0022937227761968245,0.02937909302592623,0.017627074911388034,-0.08857850526125559
0.0525,0,0.0525,0.042014418042477276,1.504567554203184e-05,9.417077221740397e-06,-0.060044909220718125,0.0008412577268991974,0.0005187627372803103,-0.0025200988341891684,0.0306511959218693,0.018303391197676183,-0.09251471623744965
0.055,0,0.055,0.04401510461592858,1.724591575887936e-05,1.0771871974686821e-05,-0.06005150264081621,0.000919456923534251,0.0005653470380293084,-0.0027562583046032937,0.03190514195793201,0.018960927983349207,-0.09640526387670838
0.0575,0,0.0575,0.04601579118937988,1.96455536982353e-05,1.2245162799655501e-05,-0.06005869857012016,0.0010007683731230116,0.0006135518125991718,-0.0030020872441820726,0.0331410117149794,0.019599787251560644,-0.10025032024720115
0.06,0,0.06,0.048016477762831175,2.2252313588050397e-05,1.3840942620188974e-05,-0.0600665210403219,0.0010851469856940227,0.0006633304946751881,-0.003257472139838802,0.034358885773876524,0.02022007098546403,-0.10405005741709741
0.0625,0,0.0625,0.05001716433628248,2.507380718316198e-05,1.556308826274038e-05,-0.06007499379986837,0.00117254787272799,0.0007146367729005298,-0.0035222999086572037,0.03555884471548845,0.020821881168212902,-0.10780464745456664
0.065,0,0.065,0.05201785090973378,2.8117534268924317e-05,1.7415361094068117e-05,-0.06008414031503692,0.0012629263471577816,0.0007674245908762518,-0.003796457897891421,0.03674096912068023,0.021405319782960792,-0.11151426242777825
0.0675,0,0.0675,0.05401853748318508,3.1390883164839054e-05,1.9401407658630583e-05,-0.06009398377101075,0.0013562379233684287,0.0008216481471612943,-0.004079833884966022,0.03790533957031691,0.02197048881286125,-0.11517907440490167
0.07,0,0.07,0.056019224056636376,3.49011312281856e-05,2.1524760315980875e-05,-0.06010454707295433,0.0014524383171971244,0.00087726189527248,-0.004372316077475997,0.03905203664526355,0.02251749024106781,-0.11879925545410637
0.0725,0,0.0725,0.05801991063008767,3.8655445357651604e-05,2.378883787816152e-05,-0.06011585284708885,0.0015514834459332254,0.0009342205436845163,-0.004673793113186762,0.04018114092638521,0.023046426050734002,-0.12237497764356178
0.075,0,0.075,0.060020597203538965,4.2660882496963264e-05,2.6196946247099154e-05,-0.060127923441767595,0.0016533294283182505,0.000992479055829994,-0.004984154060034155,0.04129273299454695,0.023557398225013373,-0.12590641304143735
0.0775,0,0.0775,0.06202128377699027,4.69243901385158e-05,2.8752279051999256e-05,-0.060140780928551435,0.001757932584545881,0.0010519926500993887,-0.005303288416124439,0.042386893430613824,0.024050508747059454,-0.12939373371590251
0.08,0,0.08,0.06402197035044158,5.145280682700384e-05,3.1457918286740844e-05,-0.0601544471032842,0.0018652494362619617,0.0011127167998410588,-0.005631086109734303,0.04346370281545087,0.024525859600025793,-0.13283711173512677
0.0825,0,0.0825,0.06602265692389288,5.625286266305178e-05,3.431683494727117e-05,-0.060168943487168135,0.001975236706564499,0.0011746072333612462,-0.0059674374993108495,0.044523241729923176,0.024983552767065913,-0.1362367191672795
0.085,0,0.085,0.06802334349734417,6.133117980684427e-05,3.7331889669000436e-05,-0.06018429132783929,0.002087851320003661,0.0012376199339240775,-0.0063122333734716134,0.045565590754895774,0.025423690231333368,-0.13959272808053014
0.08750000000000001,0,0.08750000000000001,0.07002403007079547,6.669427298175665e-05,4.050583336419659e-05,-0.06020051160044302,0.0022030504025817815,0.0013017111397515637,-0.006665364951004555,0.04659083047123374,0.025846373975981683,-0.14290531054304814
0.09,0,0.09,0.07202471664424676,7.234854997798513e-05,4.3841307859379864e-05,-0.06021762500870931,0.002320791281753354,0.0013668373440235975,-0.007026723880868049,0.0475990414598021,0.026251705984164406,-0.14617463862300298
0.0925,0,0.0925,0.07402540321769806,7.83003121561776e-05,4.7340846532717674e-05,-0.060235651986028295,0.002441031486425038,0.0014329552948779587,-0.007396202242190908,0.048590304301465936,0.02663978823903507,-0.14940088438856408
0.095,0,0.095,0.07602608979114936,8.455575495106356e-05,5.1006874951419157e-05,-0.060254612696525614,0.0025637287469556513,0.0015000219954103078,-0.007773692544272352,0.049564699577090296,0.027010722723747202,-0.1525842199079009
0.0975,0,0.0975,0.07802677636460066,9.112096837508491e-05,5.484171150913001e-05,-0.06027452703613789,0.002688840995156178,0.0015679947036741906,-0.008159087726582033,0.05052230786754023,0.02736461142145437,-0.15572481724918286
0.1,0,0.1,0.08002746293805196,9.800193752202614e-05,5.884756806332711e-05,-0.060295414633688135,0.0028163263642897616,0.0016368309326810365,-0.008552281158760028,0.05146320975368081,0.027701556315310075,-0.15882284848057943
0.10250000000000001,0,0.10250000000000001,0.08202814951150326,0.00010520454307064481,6.302655057271326e-05,-0.06031729485196114,0.0029461431890717114,0.0017064884504001596,-0.008953166640616834,0.052387485816377075,0.02802165938846788,-0.16187848567025998
0.105,0,0.105,0.08402883608495455,0.00011273456178830196,6.738065973461193e-05,-0.060340186788778984,0.003078250005669497,0.0017769252797587558,-0.009361638402133372,0.053295216636494065,0.028325022624081313,-0.164891900886394
0.1075,0,0.1075,0.08602952265840585,0.0001205976670345926,7.191179162236198e-05,-0.060364109278076374,0.003212605551702753,0.0018480996986419067,-0.009777591103460988,0.054186482794896886,0.028611748005303916,-0.167863266197151
0.11,0,0.11,0.08803020923185716,0.0001287994292649759,7.662173832271226e-05,-0.06038908089097612,0.0033491687662432746,0.001919970239892578,-0.010200919834921454,0.055061364872450565,0.028881937515289214,-0.17079275367070038
0.1125,0,0.1125,0.09003089580530846,0.0001373453165344058,8.151218857321637e-05,-0.06041511993686455,0.0034878987898150195,0.0019924956913116164,-0.01063152011700696,0.05591994345002016,0.029135693137190777,-0.17368053537521153
0.115,0,0.115,0.09203158237875976,0.00014624069500096128,8.658472839962745e-05,-0.06044224446446694,0.0036287549643941094,0.002065635095657756,-0.011069287900380123,0.05676229910847073,0.029373116854162107,-0.17652678337885394
0.11750000000000001,0,0.11750000000000001,0.09403226895221106,0.0001554908294294768,9.184084175329276e-05,-0.06047047226292294,0.0037716968334088287,0.0021393477506476133,-0.011514119565873981,0.05758851242866732,0.02959431064935676,-0.179331669749797
0.12,0,0.12,0.09603295552566235,0.00016510088369517287,9.728191114854849e-05,-0.060499820862861965,0.003916684141739622,0.0022135932089556868,-0.011965911924491998,0.05839866399147499,0.029799376505928267,-0.18209536655621025
0.1225,0,0.1225,0.09803364209911365,0.00017507592128728625,0.00010290921830011453,-0.06053030753747869,0.0040636768357191,0.0022883312782143632,-0.012424562217408066,0.05919283437775881,0.029988416407030167,-0.18481804586626308
0.125,0,0.125,0.10003432867256495,0.0001854209058127004,0.00010872394476048891,-0.06056194930360843,0.004212635063132034,0.002363522021013908,-0.012889968115966488,0.059971104168383825,0.030161532335816008,-0.1874998797481249
0.1275,0,0.1275,0.10203501524601626,0.00019614070149957588,0.00011472717255734275,-0.06059476292280254,0.004363519173215358,0.0024391257549024746,-0.013362027721682006,0.060733553944215084,0.030318826275439317,-0.1901410402699652
0.13,0,0.13,0.10403570181946756,0.0002072400737009809,0.00012091988483091501,-0.060628764902403924,0.004516289716658168,0.002515103052386097,-0.013840639566239772,0.06148026428611766,0.03046040020905363,-0.19274169949995346
0.1325,0,0.1325,0.10603638839291886,0.0002187236893985215,0.00012730296647140693,-0.06066397149662237,0.004670907445601728,0.0025914147409286967,-0.014325702611495373,0.06221131577495658,0.030586356119812495,-0.19530202950625897
0.135,0,0.135,0.10803707496637016,0.00023059611770597212,0.00013387720475637702,-0.060700398707610057,0.0048273333136394534,0.002668021902952075,-0.014817116249474809,0.06292678899159695,0.030696795990869444,-0.1978222023570514
0.1375,0,0.1375,0.11003776153982145,0.00024286183037290594,0.0001406432899881355,-0.0607380622865369,0.004985528475816934,0.0027448858758359197,-0.01531478030237451,0.06362676451690376,0.030791821805378018,-0.20030239012049997
0.14,0,0.14,0.11203844811327275,0.0002555252022883254,0.00014760181613113942,-0.060776977734666046,0.005145454288631915,0.002821968251917803,-0.015818595022561326,0.06431132293174215,0.030871535546491746,-0.20274276486477427
0.14250000000000002,0,0.14250000000000002,0.11403913468672405,0.0002685905119842925,0.00015475328144938695,-0.060817160304429276,0.005307072310034308,0.0028992308784931775,-0.016328461092572542,0.06498054481697708,0.03093603919736417,-0.20514349865804365
0.145,0,0.145,0.11603982126017534,0.000282061942139559,0.00016209808914381216,-0.0608586250005024,0.005470344299426185,0.0029766358578153834,-0.016844279625115848,0.06563451075347367,0.03098543474114884,-0.2075047635684776
0.1475,0,0.1475,0.11804050783362664,0.00029594358008319725,0.00016963654798968003,-0.06090138658088075,0.0056352322176617805,0.0030541455470956434,-0.01736595216306937,0.06627330132209698,0.031019824160999274,-0.2098267316642456
0.15,0,0.15,0.12004119440707793,0.0003102394182982304,0.00017736887297398082,-0.060945459557954516,0.0058016982270474955,0.003131722558503062,-0.01789338067948166,0.06689699710371204,0.031039309440069027,-0.21210957501351704
0.1525,0,0.1525,0.12204188098052923,0.0003249533549252627,0.00018529518593282494,-0.060990858199584275,0.005969704691341888,0.0032093297591646317,-0.018426467577571683,0.06750567867918389,0.031043992561511625,-0.21435346568446137
0.155,0,0.155,0.12404256755398053,0.0003400891942661101,0.00019341551618883766,-0.06103759653017632,0.006139214175755683,0.0032869302711652252,-0.018965115690728836,0.06809942662937764,0.03103397550848061,-0.21655857574524806
0.1575,0,0.1575,0.12604325412743184,0.00035565064728743047,0.00020172980118855375,-0.061085688331758155,0.006310189446951765,0.003364487471547602,-0.019509228282512933,0.0686783215351583,0.03100936026412953,-0.21872507726404655
0.16,0,0.16,0.12804394070088315,0.0003716413321243543,0.0002102378871398123,-0.0611351471450539,0.0064825934730451855,0.003441964992312403,-0.02005870904665423,0.06924244397739092,0.0309702488116119,-0.22085314230902625
0.1625,0,0.1625,0.13004462727433444,0.00038806477458411433,0.00021893952964915106,-0.06118598627055969,0.00665638942360315,0.0035193267204181506,-0.020613462107053362,0.06979187453694059,0.030916743134081274,-0.2229429429483566
0.165,0,0.165,0.13204531384778576,0.00040492440864967744,0.00022783439435920203,-0.06123821876961916,0.006831540669645042,0.003596536797781259,-0.021173392017781446,0.07032669379467237,0.03084894521469118,-0.22499465125020712
0.1675,0,0.1675,0.13404600042123704,0.00042222357698337324,0.00023692205758608497,-0.06129185746549879,0.0070080107836423865,0.0036735596212760188,-0.02173840376307997,0.07084698233145127,0.03076695703659518,-0.22700843928274717
0.17,0,0.17,0.13604668699468833,0.00043996553143052595,0.0002462020069568031,-0.061346914944463427,0.00718576353951889,0.0037503598427346073,-0.02230840275736089,0.07135282072814239,0.030670880582946782,-0.2289844791141462
0.17250000000000001,0,0.17250000000000001,0.13804737356813965,0.0004581534335230845,0.0002556736420466374,-0.06140340355685162,0.007364762912650414,0.0038269023689470865,-0.02288329484520656,0.07184428956561079,0.030560817836899543,-0.2309229428125737
0.17500000000000002,0,0.17500000000000002,0.14004806014159094,0.0004767903549832514,0.00026533627501654125,-0.06146133541815111,0.007544973079864979,0.0039031523616614014,-0.023462986301369757,0.07232146942472148,0.030436870781606996,-0.232824002446199
0.1775,0,0.1775,0.14204874671504222,0.0004958792782271158,0.0002751891312505352,-0.06152072241007422,0.007726358419442776,0.003979075237583378,-0.024047383830773685,0.07278444088633956,0.030299141400222673,-0.23468783008319177
0.18,0,0.18,0.1440494332884935,0.000515423096868282,0.000285231349993102,-0.061581576181633305,0.007908883511116151,0.004054636668376732,-0.024636394568511986,0.07323328453133005,0.030147731675900114,-0.2365145977917212
0.1825,0,0.1825,0.14605011986194483,0.000535424616221501,0.0002954619849865809,-0.06164390815021616,0.008092513136069623,0.0041298025806630586,-0.02522992607984872,0.07366808094055803,0.02998274359179286,-0.23830447763995696
0.185,0,0.185,0.14805080643539612,0.0005558865538062984,0.00030588000510856214,-0.06170772950266146,0.008277212276939862,0.004204539156021838,-0.02582788636021834,0.07408891069488856,0.029804279131054448,-0.24005764169606825
0.1875,0,0.1875,0.15005149300884743,0.000576811539850609,0.00031648429500928275,-0.06177305119633417,0.008462946117815708,0.0042788128309904335,-0.02643018383522577,0.07449585437518667,0.02961244027683841,-0.2417742620282247
0.19,0,0.19,0.15205217958229872,0.0005982021177944033,0.00032727365574901975,-0.061839883960200986,0.008649680044238156,0.004352590297064092,-0.02703672736064631,0.07488899256231744,0.029407329012298294,-0.24345451070459573
0.1925,0,0.1925,0.15405286615575003,0.0006200607447933205,0.00033824680543548626,-0.06190823829590575,0.008837379643200374,0.004425838500695948,-0.027647426222425733,0.07526840583714595,0.02918904732058764,-0.24509855979335074
0.195,0,0.195,0.15605355272920132,0.0006423897922222969,0.00034940237986122506,-0.06197812447884489,0.009026010703147689,0.0044985246432970175,-0.02826219013668019,0.07563417478053719,0.02895769718485998,-0.24670658136265916
0.1975,0,0.1975,0.15805423930265264,0.0006651915461791985,0.00036073893314100434,-0.06204955255924284,0.009215539213977587,0.004570616181236196,-0.028880929249696298,0.07598637997335625,0.02871338058826885,-0.24827874748069045
0.2,0,0.2,0.16005492587610393,0.0006884682079884493,0.0003722549383492114,-0.06212253236322744,0.009405931367039714,0.004642080825840268,-0.029503554137931057,0.0763251019964682,0.02845619951396778,-0.2498152302156141
0.2025,0,0.2025,0.16205561244955524,0.000712221894704663,0.0003839487881572481,-0.062197073493905415,0.009597153555135894,0.004712886543393905,-0.030129975808011925,0.07665042143073808,0.028186255945110306,-0.2513162016355995
0.20500000000000002,0,0.20500000000000002,0.16405629902300653,0.0007364546396162728,0.0003958187954709254,-0.06227318533243775,0.009789172372520088,0.0047830015551396515,-0.030760105696736748,0.07696241885703096,0.027903651864850002,-0.25278183380881597
0.20750000000000002,0,0.20750000000000002,0.16605698559645785,0.0007611683927491628,0.0004078631940678581,-0.06235087703911516,0.009981954614898455,0.004852394337277946,-0.031393855671073834,0.07726117485621188,0.027608489256340355,-0.2542122988034333
0.21,0,0.21,0.1680576721699091,0.000786365021370296,0.0004200801392348586,-0.062430157554433464,0.010175467279429275,0.004921033620967107,-0.03203113802816188,0.07754677000914588,0.02730087010273496,-0.2556077686876206
0.2125,0,0.2125,0.17005835874336042,0.0008120463104913489,0.0004324677084053339,-0.06251103560016907,0.010369677564723028,0.004988888392323335,-0.03267186549531006,0.07781928489669805,0.02698089638718731,-0.2569684155295475
0.215,0,0.215,0.1720590453168117,0.0008382139633723365,0.0004450239017966774,-0.06259351968045435,0.010564552870842335,0.005055927892420719,-0.03331595122999788,0.07807880009973342,0.026648670092850945,-0.2582944113973833
0.2175,0,0.2175,0.17405973189026303,0.0008648696020252483,0.0004577466430476663,-0.0626776180828531,0.010760060799301988,0.005122121617291227,-0.03396330881987537,0.07832539619911709,0.026304293202879414,-0.25958592835929756
0.22,0,0.22,0.1760604184637143,0.0008920147677176735,0.00047063377985585397,-0.06276333887943596,0.010956169153068933,0.005187439317924716,-0.03461385228276291,0.07855915377571407,0.025947867700426255,-0.2608431384834597
0.2225,0,0.2225,0.17806110503716563,0.0009196509214764357,0.00048368308461496656,-0.06285068992785581,0.011152845936562291,0.005251851000268921,-0.03526749606665136,0.07878015341038941,0.025579495568645028,-0.26206621383803913
0.225,0,0.225,0.18006179161061692,0.0009477794445912205,0.0004968922550522966,-0.06293967887242323,0.011350059355653332,0.005315326925229462,-0.03592415504970192,0.07898847568400824,0.025199278790689242,-0.26325532649120537
0.2275,0,0.2275,0.1820624781840682,0.0009764016391182074,0.0005102589148660982,-0.06303031314518194,0.011547777817665503,0.005377837608669846,-0.03658374454024633,0.07918420117743552,0.024807319349712427,-0.26441064851112767
0.23,0,0.23,0.18406316475751952,0.0010055187283836997,0.0005237806143629816,-0.06312259996698417,0.011745969931374405,0.005439353821411467,-0.03724618027678668,0.07936741047153636,0.02440371922886813,-0.26553235196597574
0.2325,0,0.2325,0.1860638513309708,0.0010351318574877539,0.0005374548310953072,-0.06321654634856615,0.011944604507007801,0.005499846589233594,-0.03791137842799547,0.07953818414717581,0.023988580411309902,-0.2666206089239188
0.23500000000000001,0,0.23500000000000001,0.18806453790442212,0.001065242093807813,0.000551278970498582,-0.06331215909162347,0.012143650556245623,0.005559287192873384,-0.038579255592715654,0.07969660278521892,0.02356200488019129,-0.2676755914531264
0.23750000000000002,0,0.23750000000000002,0.1900652244778734,0.0010958504275023332,0.0005652503665288525,-0.06340944478988655,0.012343077292219957,0.005617647168025879,-0.03924972879996062,0.07984274696653074,0.023124094618665787,-0.26869747162176805
0.24,0,0.24,0.1920659110513247,0.0011269577720144173,0.0005793662823001004,-0.06350840983019608,0.012542854129515054,0.005674898305343999,-0.039922715508914165,0.07997669727197636,0.022674951609886973,-0.26968642149801303
0.2425,0,0.2425,0.194066597624776,0.0011585649645754433,0.0005936239107216371,-0.06360906039357839,0.012742950684167333,0.005731012650438563,-0.04059813360893049,0.08009853428242075,0.022214677837008357,-0.2706426131500309
0.245,0,0.245,0.1960672841982273,0.0011906727667086964,0.000608020375135499,-0.06371140245632094,0.012943336773665375,0.005785962503878254,-0.04127590141953427,0.08020833857872911,0.021743375283183514,-0.27156621864599106
0.2475,0,0.2475,0.1980679707716786,0.0012232818647329965,0.0006225527299538395,-0.06381544179104767,0.01314398241694992,0.005839720421189652,-0.041955937690420546,0.08030619074176637,0.02126114593156596,-0.27245741005406293
