time,segment_id,segment_local_time,u,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
0.0,0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0,0.0025,0.001805710729846041,-2.6720567229322364e-09,-2.913578701944274e-09,-0.06000000044007991,-3.203146210106633e-06,-3.4941219239460373e-06,-5.283316294809549e-07,-0.002557204019860103,-0.002791822252706909,-0.00042304209648513086
0.005,0,0.005,0.003611421459692082,-2.131006722606884e-08,-2.326519782204802e-08,-0.060000003525344424,-1.2759505949026472e-05,-1.3941753405520609e-05,-2.117084874979671e-06,-0.005082591059391353,-0.005562815075797093,-0.0008483334640350817
0.0075,0,0.0075,0.005417132189538122,-7.169776374504506e-08,-7.837358572241945e-08,-0.06000001191385261,-2.858968853849329e-05,-3.129087659338889e-05,-4.771854198314743e-06,-0.007576282536638477,-0.008313023047436148,-0.0012758511299750888
0.01,0,0.01,0.007222842919384164,-1.6942078125122046e-07,-1.8542756544359732e-07,-0.06000002827757793,-5.061460684535271e-05,-5.548958508163008e-05,-8.498176629617859e-06,-0.01003839986964621,-0.011042490745789672,-0.0017055721216303885
0.0125,0,0.0125,0.009028553649230204,-3.298674163144583e-07,-3.614863333180856e-07,-0.06000005530226461,-7.875547728156213e-05,-8.648608390973731e-05,-1.3301531767333797e-05,-0.012469064476459277,-0.013751262749023257,-0.002137473466326217
0.015,0,0.015,0.010834264379076244,-5.682293859659049e-07,-6.234797375838887e-07,-0.06000009568728409,-0.00011293381980419078,-0.00012422868956261772,-1.9187341778220415e-05,-0.01486839777512241,-0.0164393836353025,-0.0025715321913878115
0.0175,0,0.0175,0.012639975108922287,-8.995025865607708e-07,-9.882085569980473e-07,-0.06000015214549144,-0.00015307145791541987,-0.00016866582997059258,-2.616097139734869e-05,-0.017236521183680343,-0.019106897982793004,-0.0030077253241404074
0.02,0,0.02,0.014445685838768327,-1.3384878526411067e-06,-1.4723447794501703e-06,-0.060000227403081766,-0.00019909051866254213,-0.0002197460445093968,-3.422772792810265e-05,-0.019573556120177794,-0.02175385036966035,-0.0034460298919092402
0.0225,0,0.0225,0.016251396568614365,-1.8997917157985866e-06,-2.092431880575973e-06,-0.06000032419944666,-0.00025091343263796225,-0.0002774179840001796,-4.3392861242179434e-05,-0.0218796240026595,-0.02438028537407014,-0.003886422922019547
0.025,0,0.025,0.01805710729846041,-2.5978271635372886e-06,-2.864885102370814e-06,-0.06000044528703059,-0.00030846293397919717,-0.0003416304107095042,-5.3661563779589325e-05,-0.024154846249170192,-0.02698624757418798,-0.004328881441796566
0.0275,0,0.0275,0.01986281802830645,-3.446814398136466e-06,-3.8059917318032213e-06,-0.06000059343118735,-0.00037166206036887476,-0.00041233219834934753,-6.503897054865556e-05,-0.0263993442777546,-0.029571781548179455,-0.0047733824785655314
0.03,0,0.03,0.021668528758152488,-4.460781595513338e-06,-4.931911379428436e-06,-0.06000077141003644,-0.0004404341530347354,-0.0004894723320771008,-7.753015912601461e-05,-0.02861323950645745,-0.03213693187421016,-0.005219903059651679
0.0325,0,0.0325,0.02347423948799853,-5.653565664085865e-06,-6.258676258001949e-06,-0.06000098201431953,-0.0005147028567496313,-0.0005729999084955692,-9.114014965661597e-05,-0.030796653353323482,-0.0346817431304457,-0.0056684202123802475
0.035,0,0.035,0.025279950217844575,-7.038813003635521e-06,-7.802191461093025e-06,-0.06000122804725687,-0.0005943921198315262,-0.0006628641356529716,-0.00010587390485372227,-0.03294970723639741,-0.03720625989505168,-0.0061189109640764705
0.0375,0,0.0375,0.02708566094769061,-8.62998026417008e-06,-9.578235241698238e-06,-0.060001512324403684,-0.0006794261941434955,-0.0007590143330429408,-0.00012173632999890905,-0.03507252257372397,-0.03971052674619365,-0.006571352342065584
0.04,0,0.04,0.028891371677536654,-1.0440335104786408e-05,-1.1602459290855033e-05,-0.06000183767350663,-0.0007697296350937272,-0.0008613999316045243,-0.0001387322729420653,-0.0371652207833479,-0.042194588262037244,-0.007025721373672829
