time,segment_id,segment_local_time,u,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
0.0,0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0,0.01,0.007222842919384164,-1.6942078125122046e-07,-1.8542756544359732e-07,-0.06000002827757793,-5.061460684535271e-05,-5.548958508163008e-05,-8.498176629617859e-06,-0.01003839986964621,-0.011042490745789672,-0.0017055721216303885
0.02,0,0.02,0.014445685838768327,-1.3384878526411067e-06,-1.4723447794501703e-06,-0.060000227403081766,-0.00019909051866254213,-0.0002197460445093968,-3.422772792810265e-05,-0.019573556120177794,-0.02175385036966035,-0.0034460298919092402
0.03,0,0.03,0.021668528758152488,-4.460781595513338e-06,-4.931911379428436e-06,-0.06000077141003644,-0.0004404341530347354,-0.0004894723320771008,-7.753015912601461e-05,-0.02861323950645745,-0.03213693187421016,-0.005219903059651679
0.04,0,0.04,0.028891371677536654,-1.0440335104786408e-05,-1.1602459290855033e-05,-0.06000183767350663,-0.0007697296350937272,-0.0008613999316045243,-0.0001387322729420653,-0.0371652207833479,-0.042194588262037244,-0.007025721373672829
0.05,0,0.05,0.03611421459692082,-2.013241126443988e-05,-2.2489777927534315e-05,-0.06000360676307164,-0.0011821387975199387,-0.0013322888569374308,-0.00021814616958311733,-0.04523727070571184,-0.05192967253573974,-0.008862014582787814
0.06,0,0.06,0.043337057516304976,-3.4344279823000656e-05,-3.856739949185817e-05,-0.0600062622958003,-0.001672901180542418,-0.001898927651947564,-0.0003160692467441847,-0.05283716002841197,-0.06134503769791575,-0.010727312435811757
0.07,0,0.07,0.05055990043568915,-5.3835994469029324e-05,-6.077688427506591e-05,-0.060009990789225816,-0.0022373340319388414,-0.002558133390532652,-0.00043278419960843283,-0.05997265950631102,-0.07044353675116345,-0.012620144681559786
0.08,0,0.08,0.05778274335507331,-7.932116990660624e-05,-9.002810595750387e-05,-0.060014981514320664,-0.0028708323070355105,-0.0033067516766163993,-0.0005685590208471779,-0.06665153989427167,-0.07922802269808091,-0.014539041068847017
0.09,0,0.09,0.06500558627445746,-0.00011146775893081798,-0.00012719953690888545,-0.060021426348471484,-0.003568868668707354,-0.004141656644148495,-0.0007236470006198873,-0.07288157194715664,-0.08770134854126631,-0.01648253134648858
0.1,0,0.1,0.07222842919384163,-0.00015089882950324374,-0.00017313853348855095,-0.060029519628453945,-0.0043269934873779335,-0.005059750957104613,-0.0008982867265741811,-0.07867052641982862,-0.09586636728331777,-0.018449145263299604
0.11,0,0.11,0.0794512721132258,-0.00019819334182744096,-0.00022866162134572705,-0.06003945800340764,-0.005140834841019426,-0.006057965809486397,-0.0010927020838458281,-0.08402617406715035,-0.10372593192683341,-0.0204374125680952
0.12,0,0.12,0.08667411503260995,-0.00025388692542443255,-0.000294554780719787,-0.060051440287810946,-0.006006098515152648,-0.007133260925321487,-0.0013071022550587505,-0.08895628564398449,-0.11128289547441138,-0.022445863009690502
0.13,0,0.13,0.09389695795199413,-0.0003184726562081925,-0.00037157373174051035,-0.06006566731445594,-0.006918568002847034,-0.008282624558663495,-0.0015416817203250208,-0.09346863190519379,-0.11854011092864979,-0.02447302633690063
0.14,0,0.14,0.1011198008713783,-0.0003924018335611321,-0.0004604442197283426,-0.060082341787423235,-0.007874104504720652,-0.009503073493592015,-0.0017966202572448635,-0.09757098360564094,-0.1255004312921468,-0.026517432298540713
0.15,0,0.15,0.10834264379076244,-0.0004760847574095863,-0.0005618623004946545,-0.06010166813505692,-0.008868646928940186,-0.010791653044212618,-0.002072082940906652,-0.10127111150018867,-0.1321667095675005,-0.028577610643425858
0.16,0,0.16,0.11556548671014662,-0.0005698915052993012,-0.0006764946256420042,-0.06012385236293938,-0.009898211891220967,-0.012145437054656873,-0.0023682201438869144,-0.10457678634369962,-0.13854179875730907,-0.030652091120371212
0.17,0,0.17,0.12278832962953078,-0.0006741527094709177,-0.0008049787278643932,-0.06014910190686621,-0.010958893714826935,-0.013561527899082309,-0.0026851675362503276,-0.10749577889103654,-0.1446285518641706,-0.03273940347819189
0.18,0,0.18,0.13001117254891492,-0.0007891603339354599,-0.0009479233062475294,-0.06017762548582112,-0.012046864430570656,-0.01503705648167245,-0.003023046085549719,-0.11003585989706215,-0.15042982189068324,-0.034838077465703
0.19,0,0.19,0.1372340154682991,-0.0009151684515498222,-0.001105908511569087,-0.06020963295495074,-0.013158373776813349,-0.016569182236636806,-0.003381962056826073,-0.11220480011663912,-0.15594846183944513,-0.0369466428317197
0.2,0,0.2,0.14445685838768327,-0.0010523940210922511,-0.001279486231598962,-0.0602453351585396,-0.014289749199464826,-0.01815509312821085,-0.0037620070126085175,-0.11401037030463018,-0.1611873247130544,-0.039063629325057095
0.21,0,0.21,0.15167970130706743,-0.0012010176643378369,-0.001469180376399538,-0.060284943782984934,-0.015437395851983542,-0.019792005650656048,-0.004163257812914335,-0.11546034121589802,-0.1661492635141091,-0.041187566694530296
0.22,0,0.22,0.1589025442264516,-0.0013611844431339973,-0.001675487163625942,-0.060328671209771596,-0.01659779659537658,-0.02147716482825984,-0.004585776615248959,-0.1165624836053054,-0.1708371312452075,-0.04331698468895444
0.23,0,0.23,0.16612538714583577,-0.0015330046364759637,-0.001898875403826306,-0.060376730368446936,-0.017767511998199655,-0.023207844215335675,-0.005029610874605977,-0.11732456822771498,-0.17525378090894767,-0.04545041305714466
0.24,0,0.24,0.1733482300652199,-0.001716554517582266,-0.0021397867857420234,-0.06042933458959568,-0.018943180336557095,-0.024981345896222928,-0.005494793343467122,-0.1177543658379894,-0.1794020655079277,-0.04758638154791606
0.25,0,0.25,0.1805710729846041,-0.0019118771309702249,-0.0023986361616080178,-0.060486697457814806,-0.020121517594101874,-0.02679500048528702,-0.005981342071802286,-0.11785964719099147,-0.18328483804474574,-0.049723419910083784
0.26,0,0.26,0.18779391590398825,-0.002118983069531428,-0.0026758118324529886,-0.060549032664688446,-0.02129931746203556,-0.028646167126919298,-0.006489260407069502,-0.1176481830415839,-0.18690495152199996,-0.05186005789246294
0.27,0,0.27,0.1950167588233724,-0.0023378512516072274,-0.0029716758333996856,-0.060616553861762734,-0.022473451339108393,-0.030532233495537138,-0.007018536994214966,-0.11712774414462933,-0.1902652589422885,-0.053994825243868665
0.28,0,0.28,0.2022396017427566,-0.0025684296980642172,-0.003286564218965159,-0.060689474513520726,-0.0236408683316192,-0.03245061579558386,-0.007569145775673017,-0.11630610125499052,-0.19336861330820945,-0.05612625171311606
0.29,0,0.29,0.20946244466214073,-0.0028106363093697235,-0.00362078734836102,-0.060768007750357254,-0.024798595253415455,-0.03439875876152875,-0.008141045991366143,-0.11519102512753013,-0.19621786762236096,-0.05825286704902027
0.3,0,0.3,0.2166852875815249,-0.003064359642667292,-0.003974630170793708,-0.060852366221553815,-0.025943736625893266,-0.03637413565786716,-0.008734182178704992,-0.11379028651711097,-0.1988158748873411,-0.06037320100039642
0.31,0,0.31,0.22390813050090905,-0.0033294596888521705,-0.004348352510764743,-0.06094276194825345,-0.027073474677997356,-0.038374248279120324,-0.009348484172588361,-0.11211165617859555,-0.20116548810574805,-0.062485783316059626
0.32,0,0.32,0.23113097342029323,-0.0036057686496467995,-0.004742189353370986,-0.061039406176435634,-0.028185069346221076,-0.04039662694983554,-0.009983867105403195,-0.1101629048668467,-0.20326956028017998,-0.06458914374482502
0.33,0,0.33,0.2383538163396774,-0.003893091714676294,-0.005156351129604902,-0.06114250922989115,-0.029275858274606385,-0.04243883052458602,-0.010640231407024588,-0.1079518033367271,-0.20513094441323507,-0.06668181203550773
0.34,0,0.34,0.24557665925906155,-0.004191207838543929,-0.005591024001654819,-0.06125228036319697,-0.030343256814743924,-0.04449844638797098,-0.011317462804815787,-0.10548612234309958,-0.20675249350751124,-0.06876231793692285
0.35000000000000003,0,0.35000000000000003,0.2527995021784457,-0.004499870517906637,-0.006046370148205183,-0.06136892761469115,-0.03138475802577291,-0.04657309045461564,-0.012015432323628202,-0.10277363264082663,-0.20813706056560674,-0.07082919119788553
0.36,0,0.36,0.26002234509782984,-0.0048188085685504775,-0.006522528049736829,-0.06149265765944768,-0.032397932674381166,-0.04866040716917115,-0.012733996285801371,-0.09982210498477125,-0.20928749859011983,-0.07288096156721088
0.37,0,0.37,0.26724518801721403,-0.00514772690246614,-0.00701961277382723,-0.061623675662251416,-0.03338042923480525,-0.05075806950631475,-0.013472996311163011,-0.09663931012979567,-0.2102066605836484,-0.07491615879371404
0.38,0,0.38,0.2744680309365982,-0.0054863073049244175,-0.0075377162604507615,-0.061762185130572904,-0.03432997388883024,-0.052863778970749516,-0.014232259317028968,-0.09323301883076313,-0.2108973995487908,-0.07693331262621014
0.39,0,0.39,0.28169087385598235,-0.005834209211551688,-0.008076907607278952,-0.0619083877675433,-0.035244370525789874,-0.0549752655972046,-0.01501159751820324,-0.08961100184253593,-0.21136256848814503,-0.07893095281351427
0.4,0,0.4,0.28891371677536654,-0.006191070485405431,-0.008637233354980768,-0.06206248332492925,-0.03612150074256652,-0.05709028795043512,-0.015810808426977997,-0.08578102991997705,-0.21160502040430923,-0.0809076091044416
0.41000000000000003,0,0.41000000000000003,0.2961365596947507,-0.006556508194049675,-0.009218717772522842,-0.062224669456107745,-0.03695932384359119,-0.05920663312522216,-0.01662967485313354,-0.08175087381794909,-0.21162760829988156,-0.08286181124780721
0.42,0,0.42,0.30335940261413485,-0.006930119386630506,-0.009821363142469751,-0.06239514156904103,-0.037755876840843486,-0.06132211674637277,-0.01746796490393832,-0.07752830429131469,-0.21143318517746013,-0.08479208899242624
0.43,0,0.43,0.310582245533519,-0.007311481870951557,-0.01044515004628428,-0.06257409267925147,-0.03850927445385165,-0.06343458296872004,-0.018325431984148953,-0.07312109209493671,-0.21102460403964315,-0.08669697208711379
0.44,0,0.44,0.3178050884529032,-0.007700154990549476,-0.011090037649627668,-0.06276171326279646,-0.0392177091096926,-0.06554190447712296,-0.019201814796010207,-0.06853700798367772,-0.2104047178890287,-0.08857499028068505
0.45,0,0.45,0.32502793137228736,-0.008095680401769433,-0.011755963987659875,-0.06295819110924324,-0.03987945094299181,-0.06764198248646662,-0.020096837339254988,-0.06378382271240043,-0.20957637972821488,-0.0904246733219551
0.46,0,0.46,0.33225077429167155,-0.008497582850840584,-0.01244284625033984,-0.06316371117464385,-0.04049284779592343,-0.06973274674166195,-0.02101020891110436,-0.05886930703596764,-0.20854244255979984,-0.09224455095973907
0.47000000000000003,0,0.47000000000000003,0.3394736172110557,-0.00890537095095158,-0.013150581067725743,-0.06337845543450998,-0.04105632521821019,-0.07181215551764593,-0.02194162410626753,-0.05380123170924196,-0.2073057593863817,-0.09403315294285204
0.48,0,0.48,0.3466964601304398,-0.009318537959326034,-0.013879044795275255,-0.06360260273678785,-0.04156838646712349,-0.07387819561938154,-0.022890762816941877,-0.04858736748708613,-0.20586918321055855,-0.09578900902010921
0.49,0,0.49,0.353919303049824,-0.00973656255429803,-0.014628093799145836,-0.06383632865483309,-0.04202761250748335,-0.07592888238185776,-0.023857290232812908,-0.04323548512436293,-0.2042355670349287,-0.09751064894032566
0.5,0,0.5,0.3611421459692082,-0.010158909612387586,-0.01539756474149493,-0.06407980534038563,-0.04243266201165842,-0.07796225967008945,-0.024840856841054307,-0.03775335537593486,-0.20240776386209,-0.09919660245231655
0.51,0,0.51,0.3683649888885923,-0.010585030985376135,-0.016187274865780272,-0.06433320137654457,-0.04278227135956593,-0.07997639987911752,-0.025841098426327872,-0.032148748996664894,-0.20038862669464086,-0.10084539930489694
0.52,0,0.52,0.3755878318079765,-0.011014366277382056,-0.016997022282060154,-0.06459668163074307,-0.04307525463867176,-0.08196940393400888,-0.02685763607078359,-0.02642943674141569,-0.1981810085351793,-0.10245556924688201
0.53,0,0.53,0.3828106747273607,-0.01144634362193611,-0.017826586252293643,-0.06487040710772325,-0.043310503643990486,-0.08393940128985637,-0.027890076154059588,-0.020603189365049814,-0.19578776238630355,-0.10402564202708688
0.54,0,0.54,0.3900335176467448,-0.011880380459056948,-0.018675727475640863,-0.06515453480251103,-0.04348698787808526,-0.0858845499317789,-0.028938010353282112,-0.014677777622429881,-0.19321174125061136,-0.10555414739432664
0.55,0,0.55,0.397256360566129,-0.012315884312326601,-0.019544188373763285,-0.06544921755339105,-0.0436037545510678,-0.08780303637492122,-0.030001015643065617,-0.008660972268419083,-0.19045579813070132,-0.10703961509741643
0.56,0,0.56,0.4044792034855132,-0.01275225356596596,-0.020431693376123924,-0.0657546038948815,-0.04365992858059853,-0.08969307566445421,-0.031078654295512664,-0.002560544057879457,-0.18752278602917127,-0.10848057488517139
0.5700000000000001,0,0.5700000000000001,0.4117020464048973,-0.01318887824191026,-0.021337949205287653,-0.06607083791070908,-0.04365471259188651,-0.09155291137557454,-0.032170473880213976,0.003615736254325686,-0.1844155579486196,-0.10987555650640661
0.58,0,0.58,0.41892488932428146,-0.013625140776884564,-0.022262645162221442,-0.06639805908678384,-0.043587386917689326,-0.09338081561350516,-0.03327600726424844,0.009860097913334078,-0.18113696689164419,-0.11122308970993723
0.59,0,0.59,0.4261477322436656,-0.014060416799479274,-0.023205453411594603,-0.066736402164174,-0.04345730959831339,-0.09517508901349472,-0.034394772612183086,0.01616477016428299,-0.17768986586084323,-0.11252170424457843
0.6,0,0.6,0.4333705751630498,-0.014494075907225578,-0.02416602926707911,-0.06708599699208095,-0.043263916381613414,-0.09693406074081792,-0.03552627338607309,0.022521982252309107,-0.17407710785881494,-0.11376992985914525
0.61,0,0.61,0.44059341808243396,-0.014925482443670965,-0.02514401147664975,-0.06744696838081407,-0.04300672072299314,-0.09865608849077559,-0.0366699983454618,0.028923963422550516,-0.1703015458881573,-0.11496629630245285
0.62,0,0.62,0.4478162610018181,-0.015353996275454702,-0.026139022507884486,-0.06781943595476557,-0.04268531378540457,-0.1003395584886943,-0.03782542154738067,0.03536294292014413,-0.16636603295146873,-0.11610933332331634
0.63,0,0.63,0.4550391039212023,-0.015778973569383334,-0.027150668833264675,-0.06820351400538546,-0.04229936443934863,-0.10198288548992684,-0.038992002346349364,0.041831149990227225,-0.16227342205134698,-0.1171975706705509
0.64,0,0.64,0.46226194684058647,-0.016199767569506113,-0.028178541215475333,-0.06859931134415637,-0.0418486192628746,-0.1035845127798518,-0.040169185394375646,0.048320813877937296,-0.15802656619039052,-0.11822953809297156
0.65,0,0.65,0.4694847897599706,-0.016615729374190584,-0.02922221499270537,-0.06900693115556843,-0.04133290254158064,-0.10514291217387382,-0.04135640064095546,0.05482416382841138,-0.15362831837119734,-0.1192037653393935
0.66,0,0.66,0.4767076326793548,-0.01702620871319798,-0.030281250363947902,-0.06942647085009421,-0.04075211626861332,-0.10665658401742363,-0.04255306333307291,0.06133342908678699,-0.1490815315963656,-0.12011878215863184
0.67,0,0.67,0.483930475598739,-0.017430554724758754,-0.03135519267430046,-0.06985802191716353,-0.040106240144668084,-0.10812405718595768,-0.04375857401520022,0.06784083889820114,-0.14438905886849332,-0.12097311829950172
0.68,0,0.68,0.4911533185181231,-0.01782811673264806,-0.03244357270026528,-0.0703016697781384,-0.03939533157798877,-0.10954388908495866,-0.044972318529297756,0.07433862250779136,-0.1395537531901786,-0.12176530351081823
0.6900000000000001,0,0.6900000000000001,0.4983761614375073,-0.018218245023261227,-0.03354590693504955,-0.07075749363928784,-0.038619525684367856,-0.1109146656499351,-0.046193668014814115,0.08081900916069501,-0.1345784675640198,-0.12249386754139652
0.7000000000000001,0,0.7000000000000001,0.5055990043568914,-0.01860029162268924,-0.034661697873865666,-0.0712255663447628,-0.03777903528714672,-0.11223500134642163,-0.04742197890868595,0.08727422810204925,-0.12946605499261485,-0.12315734014005171
0.71,0,0.71,0.5128218472762756,-0.018973611073794264,-0.035790434299231524,-0.0717059542295711,-0.036874150917215,-0.1135035391699786,-0.048656592945338105,0.09369650857699134,-0.12421936847856216,-0.1237542510555989
0.72,0,0.72,0.5200446901956597,-0.019337561213285115,-0.03693159156627075,-0.07219871697255216,-0.03590524081301109,-0.11471895064619264,-0.049896837156683596,0.10007807983065824,-0.11884126102445977,-0.1242831300368532
0.73,0,0.73,0.5272675331150439,-0.019691503948792703,-0.038084631888012956,-0.07270390744935204,-0.03487275092052223,-0.11587993583067624,-0.05114202387212358,0.10641117110818821,-0.11333458563290545,-0.12474250683262982
0.74,0,0.74,0.5344903760344281,-0.020034806035945554,-0.03924900462069397,-0.07322157158539819,-0.03377720489328403,-0.11698522330906792,-0.05239145071854733,0.11268801165471796,-0.10770219530649747,-0.1251309111917438
0.75,0,0.75,0.5417132189538122,-0.020366839855445337,-0.04042414654905622,-0.07375174820887445,-0.03261920409238075,-0.11803357019703203,-0.0536444006203323,0.1189008307153842,-0.10194694304783437,-0.1254468728630103
0.76,0,0.76,0.5489360618731964,-0.02068698419014224,-0.04160948217164884,-0.07429446890369587,-0.031399427586445386,-0.11902376214025906,-0.054900141799344104,0.1250418575353252,-0.09607168185951385,-0.12568892159524445
0.77,0,0.77,0.5561589047925806,-0.02099462500211057,-0.042804423986128,-0.07484975786248356,-0.03011863215165951,-0.11995461331446548,-0.05615792777493647,0.13110332135967792,-0.09007926474413425,-0.12585558713726133
0.78,0,0.78,0.5633817477119647,-0.021289156209724172,-0.04400837277455721,-0.07541763173953962,-0.02877765227175341,-0.12082496642539359,-0.05741699736395132,0.13707745143357963,-0.08397254470429359,-0.12594539923787612
0.79,0,0.79,0.5706045906313489,-0.021569980464731978,-0.045220717888707504,-0.07599809950382204,-0.027377400138005617,-0.12163369270881175,-0.05867657468071871,0.1429564770021672,-0.07775437474259009,-0.1259568876459039
0.8,0,0.8,0.5778274335507331,-0.021836509929333406,-0.04644083753535772,-0.0765911622919195,-0.025918865649243946,-0.1223796919305145,-0.05993586913705683,0.14873262731057865,-0.07142760786162167,-0.12588858211015988
0.81,0,0.81,0.5850502764701172,-0.022088167053253893,-0.0476680990615948,-0.07719681326102637,-0.02440311641184423,-0.123061892386322,-0.06119407544227204,0.15439813160395088,-0.06499509706398666,-0.12573901237945903
0.8200000000000001,0,0.8200000000000001,0.5922731193895014,-0.022324385350820403,-0.048901859240114004,-0.07781503744191748,-0.022831297739731252,-0.12367925090208069,-0.06245037360315888,0.15994521912742105,-0.0584596953522832,-0.12550670820261658
0.8300000000000001,0,0.8300000000000001,0.5994959623088856,-0.022544610178036883,-0.05014146455451915,-0.07844581159192301,-0.021204632654378372,-0.12423075283366275,-0.06370392892399995,0.1653661191261269,-0.051824255729109536,-0.12519019932844766
0.84,0,0.84,0.6067188052282697,-0.02274829950965973,-0.051386251484622975,-0.0790891040479035,-0.019524421884807464,-0.12471541206696665,-0.06495389200656612,0.1706530608452055,-0.045091631197063435,-0.12478801550576736
0.85,0,0.85,0.6139416481476538,-0.02293492471627337,-0.05263554679174729,-0.07974487457922455,-0.017792043867589178,-0.12513227101791646,-0.06619939875011631,0.17579827352979358,-0.0382646747587436,-0.12429868648339082
0.86,0,0.86,0.621164491067038,-0.023103971341365603,-0.053888667804023294,-0.08041307424073187,-0.016008954746842725,-0.1254804006324626,-0.06743957035139767,0.1807939864250293,-0.03134623941674747,-0.1237207420101331
0.87,0,0.87,0.6283873339864222,-0.023254939878403186,-0.0551449227016918,-0.08109364522572601,-0.014176688374236078,-0.1257589003865812,-0.06867351330464544,0.1856324287760498,-0.02433917817367362,-0.12305271183480943
