[rosmaster.main][INFO] 2026-08-03 04:10:31,929: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-03 04:10:31,929: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-03 04:10:31,930: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-03 04:10:31,930: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-03 04:10:31,930: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-03 04:10:31,930: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-03 04:10:31,993: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:31,993: +PARAM [/roslaunch/uris/host_sc_202607101733__46339] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:32,015: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:32,015: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:32,017: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:37421/
[rosmaster.master][INFO] 2026-08-03 04:10:32,017: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:37421/
[rosmaster.master][INFO] 2026-08-03 04:10:32,017: +PUB [/rosout_agg] /rosout http://SC-202607101733:37421/
[rosmaster.master][INFO] 2026-08-03 04:10:32,018: +SUB [/rosout] /rosout http://SC-202607101733:37421/
[rosmaster.master][INFO] 2026-08-03 04:10:32,980: +PUB [/rosout] /s1_r1_trajectory_capture_88524_1785701432864 http://SC-202607101733:45989/
[rosmaster.master][INFO] 2026-08-03 04:10:32,981: +SERVICE [/s1_r1_trajectory_capture_88524_1785701432864/get_loggers] /s1_r1_trajectory_capture_88524_1785701432864 http://SC-202607101733:45989/
[rosmaster.master][INFO] 2026-08-03 04:10:32,982: +SERVICE [/s1_r1_trajectory_capture_88524_1785701432864/set_logger_level] /s1_r1_trajectory_capture_88524_1785701432864 http://SC-202607101733:45989/
[rosmaster.master][INFO] 2026-08-03 04:10:33,033: publisherUpdate[/rosout] -> http://SC-202607101733:37421/ ['http://SC-202607101733:45989/']
[rosmaster.master][INFO] 2026-08-03 04:10:33,035: publisherUpdate[/rosout] -> http://SC-202607101733:37421/ ['http://SC-202607101733:45989/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 04:10:35,015: +PUB [/rosout] /platform_publisher_88565_1785701434900 http://SC-202607101733:36569/
[rosmaster.master][INFO] 2026-08-03 04:10:35,016: +SERVICE [/platform_publisher_88565_1785701434900/get_loggers] /platform_publisher_88565_1785701434900 http://SC-202607101733:36569/
[rosmaster.master][INFO] 2026-08-03 04:10:35,017: +SERVICE [/platform_publisher_88565_1785701434900/set_logger_level] /platform_publisher_88565_1785701434900 http://SC-202607101733:36569/
[rosmaster.master][INFO] 2026-08-03 04:10:35,017: +PUB [/global_map] /platform_publisher_88565_1785701434900 http://SC-202607101733:36569/
[rosmaster.master][INFO] 2026-08-03 04:10:35,018: +SUB [/odom_converter/converted_odom1] /platform_publisher_88565_1785701434900 http://SC-202607101733:36569/
[rosmaster.master][INFO] 2026-08-03 04:10:35,039: publisherUpdate[/rosout] -> http://SC-202607101733:37421/ ['http://SC-202607101733:45989/', 'http://SC-202607101733:36569/']
[rosmaster.master][INFO] 2026-08-03 04:10:35,039: publisherUpdate[/rosout] -> http://SC-202607101733:37421/ ['http://SC-202607101733:45989/', 'http://SC-202607101733:36569/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 04:10:35,057: +PARAM [/roslaunch/uris/host_sc_202607101733__44763] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/start_x] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/start_y] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/start_z] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/end_x] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/end_y] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/end_z] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/object_qx] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/object_qy] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/object_qz] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/object_qw] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/object_px] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/object_py] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/object_pz] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,059: +PARAM [/num_pre_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,060: +PARAM [/num_post_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,060: +PARAM [/scale] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,060: +PARAM [/staticR] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,060: +PARAM [/dynar] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,060: +PARAM [/upper_arm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:10:35,060: +PARAM [/lower_arm] by /roslaunch
