[rosmaster.main][INFO] 2026-08-03 04:09:58,925: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-03 04:09:58,925: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-03 04:09:58,926: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-03 04:09:58,926: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-03 04:09:58,926: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-03 04:09:58,926: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-03 04:09:58,994: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:58,995: +PARAM [/roslaunch/uris/host_sc_202607101733__35061] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:59,016: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:59,016: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 04:09:59,019: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:44633/
[rosmaster.master][INFO] 2026-08-03 04:09:59,019: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:44633/
[rosmaster.master][INFO] 2026-08-03 04:09:59,019: +PUB [/rosout_agg] /rosout http://SC-202607101733:44633/
[rosmaster.master][INFO] 2026-08-03 04:09:59,021: +SUB [/rosout] /rosout http://SC-202607101733:44633/
[rosmaster.master][INFO] 2026-08-03 04:09:59,963: +PUB [/rosout] /s1_r1_trajectory_capture_87969_1785701399847 http://SC-202607101733:45639/
[rosmaster.master][INFO] 2026-08-03 04:09:59,964: +SERVICE [/s1_r1_trajectory_capture_87969_1785701399847/get_loggers] /s1_r1_trajectory_capture_87969_1785701399847 http://SC-202607101733:45639/
[rosmaster.master][INFO] 2026-08-03 04:09:59,964: +SERVICE [/s1_r1_trajectory_capture_87969_1785701399847/set_logger_level] /s1_r1_trajectory_capture_87969_1785701399847 http://SC-202607101733:45639/
[rosmaster.master][INFO] 2026-08-03 04:10:00,027: publisherUpdate[/rosout] -> http://SC-202607101733:44633/ ['http://SC-202607101733:45639/']
[rosmaster.master][INFO] 2026-08-03 04:10:00,029: publisherUpdate[/rosout] -> http://SC-202607101733:44633/ ['http://SC-202607101733:45639/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 04:10:01,982: +PUB [/rosout] /platform_publisher_88010_1785701401858 http://SC-202607101733:34893/
[rosmaster.master][INFO] 2026-08-03 04:10:01,983: +SERVICE [/platform_publisher_88010_1785701401858/get_loggers] /platform_publisher_88010_1785701401858 http://SC-202607101733:34893/
[rosmaster.master][INFO] 2026-08-03 04:10:01,984: +SERVICE [/platform_publisher_88010_1785701401858/set_logger_level] /platform_publisher_88010_1785701401858 http://SC-202607101733:34893/
[rosmaster.master][INFO] 2026-08-03 04:10:01,984: +PUB [/global_map] /platform_publisher_88010_1785701401858 http://SC-202607101733:34893/
[rosmaster.master][INFO] 2026-08-03 04:10:01,985: +SUB [/odom_converter/converted_odom1] /platform_publisher_88010_1785701401858 http://SC-202607101733:34893/
[rosmaster.master][INFO] 2026-08-03 04:10:02,039: publisherUpdate[/rosout] -> http://SC-202607101733:44633/ ['http://SC-202607101733:45639/', 'http://SC-202607101733:34893/']
[rosmaster.master][INFO] 2026-08-03 04:10:02,040: publisherUpdate[/rosout] -> http://SC-202607101733:44633/ ['http://SC-202607101733:45639/', 'http://SC-202607101733:34893/']: sec=0.00, result=[1, '', 0]
