elapsed_s,cost
10.441,6.20901e+17
10.441,4.99037e+20
10.441,2.34841e+21
10.441,4.00808e+19
10.441,8.90493e+17
10.441,2.7983e+16
10.441,2.69999e+16
10.441,2.59642e+16
10.441,2.39361e+16
10.441,1.08503e+16
10.441,6193020000000000.0
10.441,3145760000000000.0
10.441,1750940000000000.0
10.441,918224000000000.0
10.441,412023000000000.0
10.441,233065000000000.0
10.441,139973000000000.0
10.441,75192200000000.0
10.441,33442800000000.0
10.441,66356400000000.0
10.441,27528600000000.0
10.441,11925500000000.0
10.441,8895910000000.0
10.441,6815760000000.0
10.441,5714800000000.0
10.441,4079390000000.0
10.441,1812070000000.0
10.441,775772000000.0
10.441,391298000000.0
10.441,258310000000.0
10.441,156473000000.0
10.441,80902600000.0
10.441,44331800000.0
10.441,22595900000.0
10.441,11031700000.0
10.441,6330070000.0
10.441,4510030000.0
10.441,2687750000.0
10.441,1490680000.0
10.441,850578000.0
10.441,525703000.0
10.441,382177000.0
10.441,259894000.0
10.441,163361000.0
10.441,116600000.0
10.441,84017700.0
10.441,71798000.0
10.441,68278300.0
10.441,66078000.0
10.441,65042700.0
10.441,63353700.0
10.441,60714500.0
10.441,59869400.0
10.441,57467700.0
10.441,55836600.0
10.441,54523600.0
10.441,54134100.0
10.441,53647100.0
10.441,53349600.0
10.441,3387000000.0
10.441,113693000.0
10.441,53035400.0
10.441,9244280000.0
10.441,1100420000.0
10.441,132071000.0
10.441,56391000.0
10.441,52979500.0
10.441,52836500.0
10.441,52732800.0
10.441,52408500.0
10.441,52515500.0
10.441,52195300.0
10.441,81964300.0
10.441,53991400.0
10.441,52143400.0
10.441,51938400.0
10.441,51878000.0
10.441,51596700.0
10.441,51441200.0
10.441,51323800.0
10.441,51138000.0
10.441,50737000.0
10.441,50415800.0
10.441,50306100.0
10.441,50159700.0
10.441,50132700.0
10.441,50014300.0
10.441,49796100.0
10.441,49685800.0
10.441,49534000.0
10.441,49407800.0
10.441,49134600.0
15.501,48885300.0
15.501,48773900.0
15.501,48565300.0
15.501,48146600.0
15.501,48008800.0
15.501,48052100.0
15.501,47907300.0
15.501,47788600.0
15.501,47672800.0
15.501,47544400.0
15.501,393989000.0
15.501,48132100.0
15.501,47477500.0
15.501,47228600.0
15.501,46978800.0
15.501,47399800.0
15.501,46883400.0
15.501,6860840000.0
15.501,1187400000.0
15.501,159888000.0
15.501,55168800.0
15.501,47239600.0
15.501,46844300.0
15.501,46634900.0
15.501,46662400.0
15.501,46557800.0
15.501,46486900.0
15.501,46426900.0
15.501,46365800.0
15.501,46308500.0
15.501,47200800.0
15.501,46087900.0
15.501,45990100.0
15.501,45898100.0
15.501,45816100.0
15.501,45748700.0
15.501,45624900.0
15.501,45479700.0
15.501,45378300.0
15.501,45228700.0
15.501,44819700.0
15.501,44613900.0
15.501,44941500.0
15.501,44143900.0
15.501,44115300.0
15.501,43916100.0
15.501,44028800.0
15.501,43814600.0
15.501,43877900.0
15.501,43675600.0
15.501,43950700.0
15.501,43606400.0
15.501,43449600.0
15.501,43224800.0
15.501,4634770000.0
15.501,376774000.0
15.501,48144900.0
15.501,43120700.0
15.501,107181000.0
15.501,46776900.0
15.501,43149600.0
15.501,43082300.0
15.501,324124000.0
15.501,71451000.0
15.501,45803800.0
15.501,43321300.0
15.501,43090700.0
15.501,43074900.0
15.501,43057900.0
15.501,42944000.0
15.501,42881100.0
15.501,42782300.0
15.501,42657400.0
15.501,42358800.0
15.501,42048400.0
15.501,43869600.0
15.501,41994900.0
15.501,42029700.0
15.501,41816700.0
15.501,41716900.0
15.501,41535400.0
15.501,3638450000.0
15.501,41112100.0
15.501,40931700.0
15.501,40955700.0
15.501,40839700.0
15.501,40706500.0
15.501,40532900.0
15.501,40304400.0
15.501,7692090000.0
15.501,1330890000.0
15.501,132674000.0
15.501,43317500.0
15.501,40253900.0
15.501,88105200.0
15.501,43094300.0
15.501,40380000.0
15.501,40155900.0
15.501,39613200.0
15.501,39474700.0
15.501,39238600.0
15.501,39149000.0
15.501,142105000.0
15.501,40137400.0
15.501,39036400.0
15.501,868156000.0
15.501,110313000.0
15.501,43411400.0
15.501,39118100.0
15.501,38992900.0
15.501,39594300.0
15.501,38929700.0
15.501,12007000000.0
15.501,738776000.0
15.501,40295800.0
15.501,38669200.0
15.501,126483000.0
15.501,39635100.0
15.501,38578300.0
15.501,123914000.0
15.501,44463200.0
15.501,38802600.0
15.501,38544400.0
15.501,38416900.0
15.501,38384000.0
15.501,38649600.0
15.501,38337400.0
15.501,38108300.0
15.501,37970400.0
15.501,37856400.0
15.501,37721700.0
15.501,37677700.0
15.501,37446200.0
15.501,37350800.0
15.501,52012000.0
15.501,37253800.0
15.501,37179800.0
15.501,37117100.0
15.501,682777000.0
15.501,52521700.0
15.501,37842500.0
15.501,37116700.0
15.501,37187900.0
15.501,37052500.0
15.501,36945500.0
15.501,36813900.0
15.501,36647200.0
15.501,36508200.0
15.501,37156900.0
15.501,36510600.0
15.501,36475600.0
15.501,36930800.0
15.501,36516600.0
15.501,36460200.0
15.501,36394300.0
15.501,36282900.0
15.501,36032100.0
15.501,35924500.0
15.501,35830800.0
15.501,35685800.0
15.501,35738200.0
15.501,35489200.0
15.501,35985500.0
15.501,35429600.0
15.501,35231300.0
15.501,35041600.0
15.501,34812100.0
15.501,34957100.0
15.501,34559700.0
15.501,34514800.0
15.501,34310600.0
15.501,34197300.0
15.501,34093300.0
15.501,33963400.0
15.501,33869900.0
15.501,33686000.0
15.501,33477400.0
15.501,34868000.0
15.501,33430300.0
15.501,33407700.0
15.501,33364200.0
20.559,33167900.0
20.559,32994700.0
20.559,32823800.0
20.559,49336400.0
20.559,33524200.0
20.559,32660700.0
20.559,32570200.0
20.559,32474400.0
20.559,32384500.0
20.559,32244200.0
20.559,32131100.0
20.559,32018700.0
20.559,31843200.0
20.559,31615600.0
20.559,43784200.0
20.559,31518900.0
20.559,31333500.0
20.559,31199100.0
20.559,31095400.0
20.559,31064000.0
20.559,30978800.0
20.559,30904400.0
20.559,30745400.0
20.559,34715100.0
20.559,30694000.0
20.559,34429100.0
20.559,30572700.0
20.559,30645500.0
20.559,30492500.0
20.559,30361700.0
20.559,30385300.0
20.559,30294200.0
20.559,31417200.0
20.559,30185600.0
20.559,62042400.0
20.559,32239100.0
20.559,30246500.0
20.559,30143500.0
20.559,32214500.0
20.559,30099200.0
20.559,30021900.0
20.559,29936600.0
20.559,29978000.0
20.559,29879100.0
20.559,29826300.0
20.559,29840100.0
20.559,29798800.0
20.559,29776000.0
20.559,29745300.0
20.559,29722700.0
20.559,29692600.0
20.559,29672200.0
20.559,29658800.0
20.559,29629100.0
20.559,29615100.0
20.559,29568500.0
20.559,29534900.0
20.559,29492200.0
20.559,29426500.0
20.559,29371800.0
20.559,29238300.0
20.559,29159500.0
20.559,29084300.0
20.559,29675000.0
20.559,29059400.0
20.559,29156400.0
20.559,29010800.0
20.559,28917000.0
20.559,28842900.0
20.559,28738200.0
20.559,28674300.0
20.559,28623400.0
20.559,28567400.0
20.559,28520500.0
20.559,28448200.0
20.559,28388600.0
20.559,28299700.0
20.559,28265200.0
20.559,28213600.0
20.559,28204900.0
20.559,28162700.0
20.559,28105900.0
20.559,28026400.0
20.559,27972200.0
20.559,27934900.0
20.559,27868800.0
20.559,27820700.0
20.559,27770100.0
20.559,27745900.0
20.559,27680600.0
20.559,27605800.0
20.559,27620300.0
20.559,27543300.0
20.559,27483100.0
20.559,27689100.0
20.559,27410700.0
20.559,27401600.0
20.559,27319900.0
20.559,27222300.0
20.559,27160600.0
20.559,27072000.0
20.559,30023200.0
20.559,27040000.0
20.559,27003500.0
20.559,26940100.0
20.559,26869700.0
