[rosmaster.main][INFO] 2026-07-31 17:13:33,793: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-31 17:13:33,793: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-31 17:13:33,794: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-07-31 17:13:33,794: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-07-31 17:13:33,795: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-31 17:13:33,795: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-07-31 17:13:33,867: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:13:33,867: +PARAM [/roslaunch/uris/host_sc_202607101733__33019] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:13:33,891: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:13:33,891: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:13:33,911: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:34225/
[rosmaster.master][INFO] 2026-07-31 17:13:33,912: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:34225/
[rosmaster.master][INFO] 2026-07-31 17:13:33,912: +PUB [/rosout_agg] /rosout http://SC-202607101733:34225/
[rosmaster.master][INFO] 2026-07-31 17:13:33,914: +SUB [/rosout] /rosout http://SC-202607101733:34225/
[rosmaster.master][INFO] 2026-07-31 17:13:34,900: +PUB [/rosout] /s1_r1_trajectory_capture_108_1785489214782 http://SC-202607101733:46717/
[rosmaster.master][INFO] 2026-07-31 17:13:34,900: publisherUpdate[/rosout] -> http://SC-202607101733:34225/ ['http://SC-202607101733:46717/']
[rosmaster.master][INFO] 2026-07-31 17:13:34,902: +SERVICE [/s1_r1_trajectory_capture_108_1785489214782/get_loggers] /s1_r1_trajectory_capture_108_1785489214782 http://SC-202607101733:46717/
