[rosmaster.main][INFO] 2026-07-31 16:29:51,634: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-31 16:29:51,634: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-31 16:29:51,635: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-07-31 16:29:51,635: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-07-31 16:29:51,635: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-31 16:29:51,635: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-07-31 16:29:51,729: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:29:51,729: +PARAM [/roslaunch/uris/host_sc_202607101733__36777] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:29:51,751: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:29:51,751: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:29:51,768: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:44267/
[rosmaster.master][INFO] 2026-07-31 16:29:51,768: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:44267/
[rosmaster.master][INFO] 2026-07-31 16:29:51,769: +PUB [/rosout_agg] /rosout http://SC-202607101733:44267/
[rosmaster.master][INFO] 2026-07-31 16:29:51,770: +SUB [/rosout] /rosout http://SC-202607101733:44267/
[rosmaster.master][INFO] 2026-07-31 16:29:52,719: +PUB [/rosout] /s1_r1_trajectory_capture_120_1785486592602 http://SC-202607101733:36423/
[rosmaster.master][INFO] 2026-07-31 16:29:52,720: +SERVICE [/s1_r1_trajectory_capture_120_1785486592602/get_loggers] /s1_r1_trajectory_capture_120_1785486592602 http://SC-202607101733:36423/
[rosmaster.master][INFO] 2026-07-31 16:29:52,721: +SERVICE [/s1_r1_trajectory_capture_120_1785486592602/set_logger_level] /s1_r1_trajectory_capture_120_1785486592602 http://SC-202607101733:36423/
[rosmaster.master][INFO] 2026-07-31 16:29:52,737: publisherUpdate[/rosout] -> http://SC-202607101733:44267/ ['http://SC-202607101733:36423/']
[rosmaster.master][INFO] 2026-07-31 16:29:52,739: publisherUpdate[/rosout] -> http://SC-202607101733:44267/ ['http://SC-202607101733:36423/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-31 16:29:54,556: +PARAM [/roslaunch/uris/host_sc_202607101733__36817] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:29:54,559: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:29:54,559: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:29:54,559: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:29:54,559: +PARAM [/start_x] by /roslaunch
