[rosmaster.main][INFO] 2026-07-31 16:33:42,725: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-31 16:33:42,725: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-31 16:33:42,725: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-07-31 16:33:42,725: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-07-31 16:33:42,726: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-31 16:33:42,726: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-07-31 16:33:42,822: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:42,823: +PARAM [/roslaunch/uris/host_sc_202607101733__45065] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:42,840: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:42,841: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:42,843: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:43567/
[rosmaster.master][INFO] 2026-07-31 16:33:42,843: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:43567/
[rosmaster.master][INFO] 2026-07-31 16:33:42,844: +PUB [/rosout_agg] /rosout http://SC-202607101733:43567/
[rosmaster.master][INFO] 2026-07-31 16:33:42,845: +SUB [/rosout] /rosout http://SC-202607101733:43567/
[rosmaster.master][INFO] 2026-07-31 16:33:43,906: +PUB [/rosout] /s1_r1_trajectory_capture_483_1785486823792 http://SC-202607101733:44473/
[rosmaster.master][INFO] 2026-07-31 16:33:43,908: +SERVICE [/s1_r1_trajectory_capture_483_1785486823792/get_loggers] /s1_r1_trajectory_capture_483_1785486823792 http://SC-202607101733:44473/
[rosmaster.master][INFO] 2026-07-31 16:33:43,909: +SERVICE [/s1_r1_trajectory_capture_483_1785486823792/set_logger_level] /s1_r1_trajectory_capture_483_1785486823792 http://SC-202607101733:44473/
[rosmaster.master][INFO] 2026-07-31 16:33:43,927: publisherUpdate[/rosout] -> http://SC-202607101733:43567/ ['http://SC-202607101733:44473/']
[rosmaster.master][INFO] 2026-07-31 16:33:43,929: publisherUpdate[/rosout] -> http://SC-202607101733:43567/ ['http://SC-202607101733:44473/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-31 16:33:45,797: +PARAM [/roslaunch/uris/host_sc_202607101733__34865] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/start_x] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/start_y] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/start_z] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/end_x] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/end_y] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/end_z] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/object_qx] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/object_qy] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/object_qz] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/object_qw] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/object_px] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/object_py] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/object_pz] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/num_pre_point] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/num_post_point] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/scale] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/staticR] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/dynar] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/upper_arm] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/lower_arm] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/mass] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/debug] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/debug_endEffector] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/object_height] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/MapTopic] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/TargetTopic] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/OdomFrame] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/UpperArm] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/LowerArm] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/StaticRadius] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/EndEffectorRadius] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/MapHeight] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/PolyhedronBox] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/MaxLengthLine] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/Rho] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/TotalT] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/QdIntervals] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/HorizHalfLen] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/VertHalfLen] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/SafeMargin] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/BiasArmToBody] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/VelMax] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,799: +PARAM [/se3_node/ThrustAccMin] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,800: +PARAM [/se3_node/ThrustAccMax] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:33:45,800: +PARAM [/se3_node/BodyRateMax] by /roslaunch
