[rosmaster.main][INFO] 2026-07-31 16:37:50,429: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-31 16:37:50,429: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-31 16:37:50,430: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-07-31 16:37:50,430: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-07-31 16:37:50,430: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-31 16:37:50,430: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-07-31 16:37:50,530: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:50,531: +PARAM [/roslaunch/uris/host_sc_202607101733__36245] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:50,553: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:50,553: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:50,572: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:43825/
[rosmaster.master][INFO] 2026-07-31 16:37:50,573: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:43825/
[rosmaster.master][INFO] 2026-07-31 16:37:50,574: +PUB [/rosout_agg] /rosout http://SC-202607101733:43825/
[rosmaster.master][INFO] 2026-07-31 16:37:50,575: +SUB [/rosout] /rosout http://SC-202607101733:43825/
[rosmaster.master][INFO] 2026-07-31 16:37:51,545: +PUB [/rosout] /s1_r1_trajectory_capture_104_1785487071427 http://SC-202607101733:36319/
[rosmaster.master][INFO] 2026-07-31 16:37:51,546: +SERVICE [/s1_r1_trajectory_capture_104_1785487071427/get_loggers] /s1_r1_trajectory_capture_104_1785487071427 http://SC-202607101733:36319/
[rosmaster.master][INFO] 2026-07-31 16:37:51,547: +SERVICE [/s1_r1_trajectory_capture_104_1785487071427/set_logger_level] /s1_r1_trajectory_capture_104_1785487071427 http://SC-202607101733:36319/
[rosmaster.master][INFO] 2026-07-31 16:37:51,632: publisherUpdate[/rosout] -> http://SC-202607101733:43825/ ['http://SC-202607101733:36319/']
[rosmaster.master][INFO] 2026-07-31 16:37:51,634: publisherUpdate[/rosout] -> http://SC-202607101733:43825/ ['http://SC-202607101733:36319/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-31 16:37:53,330: +PARAM [/roslaunch/uris/host_sc_202607101733__45051] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/start_x] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/start_y] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/start_z] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/end_x] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/end_y] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/end_z] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/object_qx] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/object_qy] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/object_qz] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/object_qw] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/object_px] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,332: +PARAM [/object_py] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/object_pz] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/num_pre_point] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/num_post_point] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/scale] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/staticR] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/dynar] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/upper_arm] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/lower_arm] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/mass] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/debug] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/debug_endEffector] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/object_height] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/MapTopic] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/TargetTopic] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/OdomFrame] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/UpperArm] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/LowerArm] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/StaticRadius] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/EndEffectorRadius] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/MapHeight] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/PolyhedronBox] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/MaxLengthLine] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/Rho] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/TotalT] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/QdIntervals] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/HorizHalfLen] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/VertHalfLen] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/SafeMargin] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/BiasArmToBody] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/VelMax] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 16:37:53,333: +PARAM [/se3_node/ThrustAccMin] by /roslaunch
