[rosmaster.main][INFO] 2026-07-31 17:22:36,349: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-31 17:22:36,350: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-31 17:22:36,350: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-07-31 17:22:36,351: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-07-31 17:22:36,351: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-31 17:22:36,351: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-07-31 17:22:36,444: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:22:36,444: +PARAM [/roslaunch/uris/host_sc_202607101733__38745] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:22:36,464: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:22:36,465: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 17:22:36,483: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:42877/
[rosmaster.master][INFO] 2026-07-31 17:22:36,483: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:42877/
[rosmaster.master][INFO] 2026-07-31 17:22:36,483: +PUB [/rosout_agg] /rosout http://SC-202607101733:42877/
[rosmaster.master][INFO] 2026-07-31 17:22:36,485: +SUB [/rosout] /rosout http://SC-202607101733:42877/
[rosmaster.master][INFO] 2026-07-31 17:22:37,505: +PUB [/rosout] /s1_r1_trajectory_capture_108_1785489757388 http://SC-202607101733:40655/
[rosmaster.master][INFO] 2026-07-31 17:22:37,506: +SERVICE [/s1_r1_trajectory_capture_108_1785489757388/get_loggers] /s1_r1_trajectory_capture_108_1785489757388 http://SC-202607101733:40655/
[rosmaster.master][INFO] 2026-07-31 17:22:37,507: +SERVICE [/s1_r1_trajectory_capture_108_1785489757388/set_logger_level] /s1_r1_trajectory_capture_108_1785489757388 http://SC-202607101733:40655/
[rosmaster.master][INFO] 2026-07-31 17:22:37,552: publisherUpdate[/rosout] -> http://SC-202607101733:42877/ ['http://SC-202607101733:40655/']
[rosmaster.master][INFO] 2026-07-31 17:22:37,554: publisherUpdate[/rosout] -> http://SC-202607101733:42877/ ['http://SC-202607101733:40655/']: sec=0.00, result=[1, '', 0]
