[rosmaster.main][INFO] 2026-07-31 21:32:24,492: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-31 21:32:24,492: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-31 21:32:24,492: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-07-31 21:32:24,493: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-07-31 21:32:24,493: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-31 21:32:24,493: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-07-31 21:32:24,586: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 21:32:24,586: +PARAM [/roslaunch/uris/host_sc_202607101733__40135] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 21:32:24,607: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 21:32:24,607: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-31 21:32:24,628: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:35071/
[rosmaster.master][INFO] 2026-07-31 21:32:24,628: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:35071/
[rosmaster.master][INFO] 2026-07-31 21:32:24,629: +PUB [/rosout_agg] /rosout http://SC-202607101733:35071/
[rosmaster.master][INFO] 2026-07-31 21:32:24,630: +SUB [/rosout] /rosout http://SC-202607101733:35071/
[rosmaster.master][INFO] 2026-07-31 21:32:25,535: +PUB [/rosout] /s1_r1_trajectory_capture_172_1785504745420 http://SC-202607101733:46269/
[rosmaster.master][INFO] 2026-07-31 21:32:25,536: +SERVICE [/s1_r1_trajectory_capture_172_1785504745420/get_loggers] /s1_r1_trajectory_capture_172_1785504745420 http://SC-202607101733:46269/
[rosmaster.master][INFO] 2026-07-31 21:32:25,538: +SERVICE [/s1_r1_trajectory_capture_172_1785504745420/set_logger_level] /s1_r1_trajectory_capture_172_1785504745420 http://SC-202607101733:46269/
