[rosmaster.main][INFO] 2026-08-03 16:01:15,615: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-03 16:01:15,618: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-03 16:01:15,627: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-03 16:01:15,629: Started XML-RPC server [http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-03 16:01:15,629: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-03 16:01:15,630: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-03 16:01:15,688: +PUB [/rosout] /s2_r2_crossarm_map_publisher_101665_1785744075368 http://SC-202607101733:35193/
[rosmaster.master][INFO] 2026-08-03 16:01:15,693: +SERVICE [/s2_r2_crossarm_map_publisher_101665_1785744075368/get_loggers] /s2_r2_crossarm_map_publisher_101665_1785744075368 http://SC-202607101733:35193/
[rosmaster.master][INFO] 2026-08-03 16:01:15,694: +SERVICE [/s2_r2_crossarm_map_publisher_101665_1785744075368/set_logger_level] /s2_r2_crossarm_map_publisher_101665_1785744075368 http://SC-202607101733:35193/
[rosmaster.master][INFO] 2026-08-03 16:01:15,695: +PUB [/global_map] /s2_r2_crossarm_map_publisher_101665_1785744075368 http://SC-202607101733:35193/
[rosmaster.master][INFO] 2026-08-03 16:01:15,709: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 16:01:15,711: +PARAM [/roslaunch/uris/host_sc_202607101733__43927] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 16:01:15,741: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 16:01:15,742: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 16:01:15,756: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:41351/
[rosmaster.master][INFO] 2026-08-03 16:01:15,756: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:41351/
[rosmaster.master][INFO] 2026-08-03 16:01:15,758: +PUB [/rosout_agg] /rosout http://SC-202607101733:41351/
[rosmaster.master][INFO] 2026-08-03 16:01:15,760: +SUB [/rosout] /rosout http://SC-202607101733:41351/
[rosmaster.master][INFO] 2026-08-03 16:01:16,454: +PUB [/rosout] /s1_r1_trajectory_capture_101776_1785744076336 http://SC-202607101733:33019/
[rosmaster.master][INFO] 2026-08-03 16:01:16,457: +SERVICE [/s1_r1_trajectory_capture_101776_1785744076336/get_loggers] /s1_r1_trajectory_capture_101776_1785744076336 http://SC-202607101733:33019/
[rosmaster.master][INFO] 2026-08-03 16:01:16,457: +SERVICE [/s1_r1_trajectory_capture_101776_1785744076336/set_logger_level] /s1_r1_trajectory_capture_101776_1785744076336 http://SC-202607101733:33019/
