[rosmaster.main][INFO] 2026-08-03 15:43:20,697: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-03 15:43:20,697: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-03 15:43:20,708: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-03 15:43:20,708: Started XML-RPC server [http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-03 15:43:20,709: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-03 15:43:20,709: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-03 15:43:20,789: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:20,792: +PARAM [/roslaunch/uris/host_sc_202607101733__44169] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:20,819: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:20,820: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:20,820: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:39175/
[rosmaster.master][INFO] 2026-08-03 15:43:20,821: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:39175/
[rosmaster.master][INFO] 2026-08-03 15:43:20,823: +PUB [/rosout_agg] /rosout http://SC-202607101733:39175/
[rosmaster.master][INFO] 2026-08-03 15:43:20,825: +SUB [/rosout] /rosout http://SC-202607101733:39175/
[rosmaster.master][INFO] 2026-08-03 15:43:20,900: +PUB [/rosout] /s2_r2_crossarm_map_publisher_101331_1785743000556 http://SC-202607101733:40023/
[rosmaster.master][INFO] 2026-08-03 15:43:20,903: +SERVICE [/s2_r2_crossarm_map_publisher_101331_1785743000556/get_loggers] /s2_r2_crossarm_map_publisher_101331_1785743000556 http://SC-202607101733:40023/
[rosmaster.master][INFO] 2026-08-03 15:43:20,904: publisherUpdate[/rosout] -> http://SC-202607101733:39175/ ['http://SC-202607101733:40023/']
[rosmaster.master][INFO] 2026-08-03 15:43:20,904: +SERVICE [/s2_r2_crossarm_map_publisher_101331_1785743000556/set_logger_level] /s2_r2_crossarm_map_publisher_101331_1785743000556 http://SC-202607101733:40023/
[rosmaster.master][INFO] 2026-08-03 15:43:20,905: +PUB [/global_map] /s2_r2_crossarm_map_publisher_101331_1785743000556 http://SC-202607101733:40023/
[rosmaster.master][INFO] 2026-08-03 15:43:20,906: publisherUpdate[/rosout] -> http://SC-202607101733:39175/ ['http://SC-202607101733:40023/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 15:43:21,710: +PUB [/rosout] /s1_r1_trajectory_capture_101442_1785743001592 http://SC-202607101733:37829/
[rosmaster.master][INFO] 2026-08-03 15:43:21,712: +SERVICE [/s1_r1_trajectory_capture_101442_1785743001592/get_loggers] /s1_r1_trajectory_capture_101442_1785743001592 http://SC-202607101733:37829/
[rosmaster.master][INFO] 2026-08-03 15:43:21,713: +SERVICE [/s1_r1_trajectory_capture_101442_1785743001592/set_logger_level] /s1_r1_trajectory_capture_101442_1785743001592 http://SC-202607101733:37829/
[rosmaster.master][INFO] 2026-08-03 15:43:21,804: publisherUpdate[/rosout] -> http://SC-202607101733:39175/ ['http://SC-202607101733:40023/', 'http://SC-202607101733:37829/']
[rosmaster.master][INFO] 2026-08-03 15:43:21,806: publisherUpdate[/rosout] -> http://SC-202607101733:39175/ ['http://SC-202607101733:40023/', 'http://SC-202607101733:37829/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 15:43:23,838: +PARAM [/roslaunch/uris/host_sc_202607101733__34541] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,841: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,842: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,842: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,842: +PARAM [/smoke_free/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,843: +PARAM [/smoke_free/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,843: +PARAM [/smoke_free/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,843: +PARAM [/smoke_free/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,844: +PARAM [/smoke_free/object/position] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,844: +PARAM [/smoke_free/object/quaternion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,844: +PARAM [/loose/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,845: +PARAM [/loose/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,845: +PARAM [/loose/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,845: +PARAM [/loose/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,846: +PARAM [/nominal/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,846: +PARAM [/nominal/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,846: +PARAM [/nominal/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,847: +PARAM [/nominal/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,847: +PARAM [/narrow/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,847: +PARAM [/narrow/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,848: +PARAM [/narrow/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,848: +PARAM [/narrow/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,848: +PARAM [/task] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,849: +PARAM [/num_pre_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,849: +PARAM [/num_post_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,849: +PARAM [/scale] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,849: +PARAM [/staticR] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,850: +PARAM [/dynar] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,850: +PARAM [/upper_arm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,850: +PARAM [/lower_arm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,851: +PARAM [/rate] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,851: +PARAM [/mass] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,851: +PARAM [/debug] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,852: +PARAM [/debug_endEffector] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,852: +PARAM [/object_height] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,853: +PARAM [/se3_node/MapTopic] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,853: +PARAM [/se3_node/TargetTopic] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,853: +PARAM [/se3_node/OdomFrame] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,854: +PARAM [/se3_node/UpperArm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,854: +PARAM [/se3_node/LowerArm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,854: +PARAM [/se3_node/StaticRadius] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,855: +PARAM [/se3_node/EndEffectorRadius] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,855: +PARAM [/se3_node/MapHeight] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,855: +PARAM [/se3_node/PolyhedronBox] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:43:23,856: +PARAM [/se3_node/MaxLengthLine] by /roslaunch
