[rosmaster.main][INFO] 2026-08-03 15:23:34,946: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-03 15:23:34,947: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-03 15:23:34,956: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-03 15:23:34,957: Started XML-RPC server [http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-03 15:23:34,957: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-03 15:23:34,957: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-03 15:23:35,030: +PUB [/rosout] /s2_r2_crossarm_map_publisher_99632_1785741814713 http://SC-202607101733:35789/
[rosmaster.master][INFO] 2026-08-03 15:23:35,034: +SERVICE [/s2_r2_crossarm_map_publisher_99632_1785741814713/get_loggers] /s2_r2_crossarm_map_publisher_99632_1785741814713 http://SC-202607101733:35789/
[rosmaster.master][INFO] 2026-08-03 15:23:35,035: +SERVICE [/s2_r2_crossarm_map_publisher_99632_1785741814713/set_logger_level] /s2_r2_crossarm_map_publisher_99632_1785741814713 http://SC-202607101733:35789/
[rosmaster.master][INFO] 2026-08-03 15:23:35,036: +PUB [/global_map] /s2_r2_crossarm_map_publisher_99632_1785741814713 http://SC-202607101733:35789/
[rosmaster.master][INFO] 2026-08-03 15:23:35,041: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:23:35,042: +PARAM [/roslaunch/uris/host_sc_202607101733__44693] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:23:35,068: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:23:35,069: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:23:35,078: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:41845/
[rosmaster.master][INFO] 2026-08-03 15:23:35,079: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:41845/
[rosmaster.master][INFO] 2026-08-03 15:23:35,081: +PUB [/rosout_agg] /rosout http://SC-202607101733:41845/
[rosmaster.master][INFO] 2026-08-03 15:23:35,082: +SUB [/rosout] /rosout http://SC-202607101733:41845/
[rosmaster.master][INFO] 2026-08-03 15:23:35,826: +PUB [/rosout] /s1_r1_trajectory_capture_99743_1785741815710 http://SC-202607101733:45199/
[rosmaster.master][INFO] 2026-08-03 15:23:35,828: +SERVICE [/s1_r1_trajectory_capture_99743_1785741815710/get_loggers] /s1_r1_trajectory_capture_99743_1785741815710 http://SC-202607101733:45199/
[rosmaster.master][INFO] 2026-08-03 15:23:35,829: +SERVICE [/s1_r1_trajectory_capture_99743_1785741815710/set_logger_level] /s1_r1_trajectory_capture_99743_1785741815710 http://SC-202607101733:45199/
