[rosmaster.main][INFO] 2026-08-03 15:26:34,016: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-03 15:26:34,016: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-03 15:26:34,018: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-03 15:26:34,018: Started XML-RPC server [http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-03 15:26:34,018: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-03 15:26:34,019: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-03 15:26:34,075: +PUB [/rosout] /s2_r2_crossarm_map_publisher_99981_1785741993758 http://SC-202607101733:41173/
[rosmaster.master][INFO] 2026-08-03 15:26:34,077: +SERVICE [/s2_r2_crossarm_map_publisher_99981_1785741993758/get_loggers] /s2_r2_crossarm_map_publisher_99981_1785741993758 http://SC-202607101733:41173/
[rosmaster.master][INFO] 2026-08-03 15:26:34,078: +SERVICE [/s2_r2_crossarm_map_publisher_99981_1785741993758/set_logger_level] /s2_r2_crossarm_map_publisher_99981_1785741993758 http://SC-202607101733:41173/
[rosmaster.master][INFO] 2026-08-03 15:26:34,079: +PUB [/global_map] /s2_r2_crossarm_map_publisher_99981_1785741993758 http://SC-202607101733:41173/
[rosmaster.master][INFO] 2026-08-03 15:26:34,088: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:34,089: +PARAM [/roslaunch/uris/host_sc_202607101733__44697] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:34,117: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:34,117: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:34,125: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:44087/
[rosmaster.master][INFO] 2026-08-03 15:26:34,126: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:44087/
[rosmaster.master][INFO] 2026-08-03 15:26:34,128: +PUB [/rosout_agg] /rosout http://SC-202607101733:44087/
[rosmaster.master][INFO] 2026-08-03 15:26:34,129: +SUB [/rosout] /rosout http://SC-202607101733:44087/
[rosmaster.master][INFO] 2026-08-03 15:26:34,858: +PUB [/rosout] /s1_r1_trajectory_capture_100092_1785741994743 http://SC-202607101733:43613/
[rosmaster.master][INFO] 2026-08-03 15:26:34,861: +SERVICE [/s1_r1_trajectory_capture_100092_1785741994743/get_loggers] /s1_r1_trajectory_capture_100092_1785741994743 http://SC-202607101733:43613/
[rosmaster.master][INFO] 2026-08-03 15:26:34,861: +SERVICE [/s1_r1_trajectory_capture_100092_1785741994743/set_logger_level] /s1_r1_trajectory_capture_100092_1785741994743 http://SC-202607101733:43613/
[rosmaster.master][INFO] 2026-08-03 15:26:34,919: publisherUpdate[/rosout] -> http://SC-202607101733:44087/ ['http://SC-202607101733:41173/', 'http://SC-202607101733:43613/']
[rosmaster.master][INFO] 2026-08-03 15:26:34,921: publisherUpdate[/rosout] -> http://SC-202607101733:44087/ ['http://SC-202607101733:41173/', 'http://SC-202607101733:43613/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 15:26:37,008: +PARAM [/roslaunch/uris/host_sc_202607101733__36591] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,011: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,012: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,012: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,012: +PARAM [/smoke_free/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,012: +PARAM [/smoke_free/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,013: +PARAM [/smoke_free/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,013: +PARAM [/smoke_free/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,013: +PARAM [/smoke_free/object/position] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,013: +PARAM [/smoke_free/object/quaternion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,014: +PARAM [/loose/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,014: +PARAM [/loose/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,014: +PARAM [/loose/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,014: +PARAM [/loose/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,015: +PARAM [/nominal/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,015: +PARAM [/nominal/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,015: +PARAM [/nominal/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,015: +PARAM [/nominal/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,015: +PARAM [/narrow/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,016: +PARAM [/narrow/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,016: +PARAM [/narrow/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,016: +PARAM [/narrow/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,016: +PARAM [/task] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,017: +PARAM [/num_pre_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,017: +PARAM [/num_post_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,017: +PARAM [/scale] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,017: +PARAM [/staticR] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,018: +PARAM [/dynar] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,018: +PARAM [/upper_arm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,018: +PARAM [/lower_arm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,018: +PARAM [/rate] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,018: +PARAM [/mass] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,019: +PARAM [/debug] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,019: +PARAM [/debug_endEffector] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,019: +PARAM [/object_height] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,019: +PARAM [/se3_node/MapTopic] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,020: +PARAM [/se3_node/TargetTopic] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,020: +PARAM [/se3_node/OdomFrame] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,020: +PARAM [/se3_node/UpperArm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:26:37,020: +PARAM [/se3_node/LowerArm] by /roslaunch
