[rosmaster.main][INFO] 2026-08-03 15:29:38,102: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-03 15:29:38,102: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-03 15:29:38,108: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-03 15:29:38,109: Started XML-RPC server [http://SC-202607101733:11311/]
[rosmaster.master][INFO] 2026-08-03 15:29:38,109: Master initialized: port[11311], uri[http://SC-202607101733:11311/]
[xmlrpc][INFO] 2026-08-03 15:29:38,109: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-03 15:29:38,182: +PUB [/rosout] /s2_r2_crossarm_map_publisher_100299_1785742177864 http://SC-202607101733:43731/
[rosmaster.master][INFO] 2026-08-03 15:29:38,187: +SERVICE [/s2_r2_crossarm_map_publisher_100299_1785742177864/get_loggers] /s2_r2_crossarm_map_publisher_100299_1785742177864 http://SC-202607101733:43731/
[rosmaster.master][INFO] 2026-08-03 15:29:38,190: +SERVICE [/s2_r2_crossarm_map_publisher_100299_1785742177864/set_logger_level] /s2_r2_crossarm_map_publisher_100299_1785742177864 http://SC-202607101733:43731/
[rosmaster.master][INFO] 2026-08-03 15:29:38,190: +PUB [/global_map] /s2_r2_crossarm_map_publisher_100299_1785742177864 http://SC-202607101733:43731/
[rosmaster.master][INFO] 2026-08-03 15:29:38,204: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:38,206: +PARAM [/roslaunch/uris/host_sc_202607101733__40483] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:38,233: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:38,233: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:38,241: +SERVICE [/rosout/get_loggers] /rosout http://SC-202607101733:40037/
[rosmaster.master][INFO] 2026-08-03 15:29:38,241: +SERVICE [/rosout/set_logger_level] /rosout http://SC-202607101733:40037/
[rosmaster.master][INFO] 2026-08-03 15:29:38,244: +PUB [/rosout_agg] /rosout http://SC-202607101733:40037/
[rosmaster.master][INFO] 2026-08-03 15:29:38,245: +SUB [/rosout] /rosout http://SC-202607101733:40037/
[rosmaster.master][INFO] 2026-08-03 15:29:38,931: +PUB [/rosout] /s1_r1_trajectory_capture_100410_1785742178813 http://SC-202607101733:45981/
[rosmaster.master][INFO] 2026-08-03 15:29:38,934: +SERVICE [/s1_r1_trajectory_capture_100410_1785742178813/get_loggers] /s1_r1_trajectory_capture_100410_1785742178813 http://SC-202607101733:45981/
[rosmaster.master][INFO] 2026-08-03 15:29:38,935: +SERVICE [/s1_r1_trajectory_capture_100410_1785742178813/set_logger_level] /s1_r1_trajectory_capture_100410_1785742178813 http://SC-202607101733:45981/
[rosmaster.master][INFO] 2026-08-03 15:29:39,005: publisherUpdate[/rosout] -> http://SC-202607101733:40037/ ['http://SC-202607101733:43731/', 'http://SC-202607101733:45981/']
[rosmaster.master][INFO] 2026-08-03 15:29:39,007: publisherUpdate[/rosout] -> http://SC-202607101733:40037/ ['http://SC-202607101733:43731/', 'http://SC-202607101733:45981/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-03 15:29:41,099: +PARAM [/roslaunch/uris/host_sc_202607101733__33279] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,104: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,104: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,105: +PARAM [/mode] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,105: +PARAM [/smoke_free/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,105: +PARAM [/smoke_free/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,106: +PARAM [/smoke_free/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,106: +PARAM [/smoke_free/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,107: +PARAM [/smoke_free/object/position] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,107: +PARAM [/smoke_free/object/quaternion] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,107: +PARAM [/loose/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,108: +PARAM [/loose/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,108: +PARAM [/loose/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,109: +PARAM [/loose/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,109: +PARAM [/nominal/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,109: +PARAM [/nominal/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,110: +PARAM [/nominal/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,110: +PARAM [/nominal/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,110: +PARAM [/narrow/num_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,110: +PARAM [/narrow/start_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,111: +PARAM [/narrow/end_pt] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,111: +PARAM [/narrow/inter_points] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,111: +PARAM [/task] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,111: +PARAM [/num_pre_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,112: +PARAM [/num_post_point] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,112: +PARAM [/scale] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,112: +PARAM [/staticR] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,112: +PARAM [/dynar] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,113: +PARAM [/upper_arm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,113: +PARAM [/lower_arm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,113: +PARAM [/rate] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,113: +PARAM [/mass] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,114: +PARAM [/debug] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,114: +PARAM [/debug_endEffector] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,114: +PARAM [/object_height] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,114: +PARAM [/se3_node/MapTopic] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,114: +PARAM [/se3_node/TargetTopic] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,115: +PARAM [/se3_node/OdomFrame] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,115: +PARAM [/se3_node/UpperArm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,115: +PARAM [/se3_node/LowerArm] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,115: +PARAM [/se3_node/StaticRadius] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,115: +PARAM [/se3_node/EndEffectorRadius] by /roslaunch
[rosmaster.master][INFO] 2026-08-03 15:29:41,116: +PARAM [/se3_node/MapHeight] by /roslaunch
